GamesPlayed,Minutes,Pos2,TS_pct,TeamAbbreviation,d_Assists_Per100,d_Assists_PerGame,d_Points_Created_Per100,d_Points_Created_PerGame,d_Points_Per100,d_Points_PerGame,dpm,nba_id,netrtg_on_off,o_dpm,player_name,playoffs,rTSPct,year,_target_name
74,2922,C,0.574,LAL,4.972,3.743,49.704,37.419,38.144,28.716,7.99,406,17.194,4.9,Shaquille O'Neal,0,5.601,2001,Shaquille O'Neal
68,2791,SG,0.549,LAL,6.288,4.971,49.73,39.309,36.056,28.5,3.16,977,10.111,4.22,Kobe Bryant,0,3.071,2001,Kobe Bryant
67,2421,C,0.594,LAL,4.284,2.985,48.576,33.851,39.023,27.194,7.88,406,10.646,4.81,Shaquille O'Neal,0,7.387,2002,Shaquille O'Neal
60,2089,SF,0.465,WAS,8.06,5.167,53.562,34.333,35.751,22.917,3.32,893,3.294,4.17,Michael Jordan,0,-5.503,2002,Michael Jordan
80,3065,SG,0.538,LAL,7.425,5.475,51.788,38.188,34.226,25.238,3.0,977,-1.199,4.24,Kobe Bryant,0,1.769,2002,Kobe Bryant
67,2534,C,0.603,LAL,4.178,3.075,46.867,34.493,37.335,27.478,7.05,406,12.29,4.21,Shaquille O'Neal,0,8.355,2003,Shaquille O'Neal
82,3029,SF,0.489,WAS,5.574,3.793,41.477,28.22,29.396,20.0,1.45,893,2.656,2.01,Michael Jordan,0,-3.035,2003,Michael Jordan
82,3404,SG,0.544,LAL,7.312,5.866,53.603,43.0,37.413,30.012,3.82,977,10.368,5.33,Kobe Bryant,0,2.456,2003,Kobe Bryant
67,2466,C,0.577,LAL,4.116,2.925,39.269,27.91,30.218,21.478,6.73,406,12.099,3.12,Shaquille O'Neal,0,6.052,2004,Shaquille O'Neal
65,2447,SG,0.545,LAL,6.928,5.077,47.785,35.015,32.689,23.954,3.29,977,6.322,4.08,Kobe Bryant,0,2.896,2004,Kobe Bryant
79,3127,SG,0.486,CLE,7.782,5.886,44.134,33.38,27.682,20.937,0.66,2544,2.392,1.3,LeBron James,0,-3.01,2004,LeBron James
73,2498,C,0.582,MIA,4.211,2.74,45.011,29.288,35.137,22.863,6.28,406,6.942,3.21,Shaquille O'Neal,0,5.294,2005,Shaquille O'Neal
66,2690,SG,0.557,LAL,7.76,6.03,53.987,41.955,35.465,27.561,3.09,977,1.953,4.88,Kobe Bryant,0,2.786,2005,Kobe Bryant
80,3384,SF,0.55,CLE,9.082,7.212,53.66,42.612,34.236,27.188,3.97,2544,8.856,3.86,LeBron James,0,2.131,2005,LeBron James
59,1806,C,0.589,MIA,3.272,1.915,42.038,24.61,34.192,20.017,4.96,406,5.599,1.87,Shaquille O'Neal,0,5.332,2006,Shaquille O'Neal
80,3277,SG,0.555,LAL,5.736,4.5,58.413,45.825,45.124,35.4,3.68,977,13.373,5.38,Kobe Bryant,0,1.934,2006,Kobe Bryant
79,3361,SF,0.568,CLE,8.263,6.595,58.176,46.43,39.302,31.367,5.39,2544,9.933,5.14,LeBron James,0,3.166,2006,LeBron James
40,1135,C,0.567,MIA,3.846,1.975,42.746,21.95,33.593,17.25,3.58,406,3.172,0.62,Shaquille O'Neal,0,2.643,2007,Shaquille O'Neal
77,3140,SG,0.575,LAL,6.681,5.364,54.901,44.078,39.308,31.558,3.63,977,6.231,5.27,Kobe Bryant,0,3.436,2007,Kobe Bryant
78,3190,SF,0.553,CLE,7.802,6.026,53.071,40.987,35.392,27.333,5.83,2544,9.121,4.57,LeBron James,0,1.167,2007,LeBron James
61,1748,C,0.585,PHX,2.769,1.525,30.932,17.033,24.769,13.639,1.93,406,2.237,-0.71,Shaquille O'Neal,0,4.509,2008,Shaquille O'Neal
82,3192,SG,0.573,LAL,6.902,5.378,52.277,40.732,36.359,28.329,5.03,977,9.373,6.09,Kobe Bryant,0,3.32,2008,Kobe Bryant
75,3027,SF,0.566,CLE,9.389,7.187,61.122,46.787,39.192,30.0,6.75,2544,10.041,5.54,LeBron James,0,2.606,2008,LeBron James
80,2768,SG,0.514,SEA,3.437,2.4,36.359,25.388,29.073,20.3,-1.57,201142,-8.76,-0.18,Kevin Durant,0,-2.579,2008,Kevin Durant
75,2252,C,0.624,PHX,2.807,1.68,36.2,21.667,29.695,17.773,0.81,406,1.609,-0.28,Shaquille O'Neal,0,8.006,2009,Shaquille O'Neal
82,2960,SG,0.559,LAL,6.839,4.866,53.394,37.988,37.727,26.841,4.86,977,11.935,6.36,Kobe Bryant,0,1.531,2009,Kobe Bryant
81,3054,SF,0.592,CLE,10.305,7.247,65.133,45.802,40.449,28.444,9.07,2544,21.602,7.44,LeBron James,0,4.838,2009,LeBron James
74,2885,SF,0.571,OKC,3.628,2.77,41.15,31.419,33.115,25.284,-0.82,201142,-8.751,0.49,Kevin Durant,0,2.669,2009,Kevin Durant
53,1240,C,0.566,CLE,3.422,1.509,34.987,15.434,27.203,12.0,0.7,406,-5.496,-1.67,Shaquille O'Neal,0,2.284,2010,Shaquille O'Neal
