player,nba_id,season,team,age,GP,GS,MIN,PPG,RPG,APG,SPG,BPG,TOV,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,TS_pct
Kareem Abdul-Jabbar,76003,1969-70,MIL,23.0,82,0.0,43.1,28.8,14.5,4.1,,,,11.4,22.1,0.518,,,,5.9,9.1,0.653,0.5516
Kareem Abdul-Jabbar,76003,1970-71,MIL,24.0,82,82.0,40.1,31.7,16.0,3.3,,,,13.0,22.5,0.577,,,,5.7,8.3,0.69,0.6061
Kareem Abdul-Jabbar,76003,1971-72,MIL,25.0,81,81.0,44.2,34.8,16.6,4.6,,,,14.3,24.9,0.574,,,,6.2,9.0,0.689,0.6029
Kareem Abdul-Jabbar,76003,1972-73,MIL,26.0,76,76.0,42.8,30.2,16.1,5.0,,,,12.9,23.3,0.554,,,,4.3,6.1,0.713,0.5811
Kareem Abdul-Jabbar,76003,1973-74,MIL,27.0,81,81.0,43.8,27.0,14.5,4.8,1.4,3.5,,11.7,21.7,0.539,,,,3.6,5.2,0.702,0.5628
Kareem Abdul-Jabbar,76003,1974-75,MIL,28.0,65,64.0,42.3,30.0,14.0,4.1,1.0,3.3,,12.5,24.4,0.513,,,,5.0,6.6,0.763,0.5494
Kareem Abdul-Jabbar,76003,1975-76,LAL,29.0,82,82.0,41.2,27.7,16.9,5.0,1.5,4.1,,11.1,21.1,0.529,,,,5.5,7.8,0.703,0.5646
Kareem Abdul-Jabbar,76003,1976-77,LAL,30.0,82,82.0,36.8,26.2,13.3,3.9,1.2,3.2,,10.8,18.7,0.579,,,,4.6,6.5,0.701,0.6076
Kareem Abdul-Jabbar,76003,1977-78,LAL,31.0,62,62.0,36.5,25.8,12.9,4.3,1.7,3.0,3.4,10.7,19.4,0.55,,,,4.4,5.6,0.783,0.59
Kareem Abdul-Jabbar,76003,1978-79,LAL,32.0,80,80.0,39.5,23.8,12.8,5.4,1.0,4.0,3.5,9.7,16.8,0.577,,,,4.4,5.9,0.736,0.6135
Kareem Abdul-Jabbar,76003,1979-80,LAL,33.0,82,81.0,38.3,24.8,10.8,4.5,1.0,3.4,3.6,10.2,16.9,0.604,0.0,0.0,0.0,4.4,5.8,0.765,0.6375
Kareem Abdul-Jabbar,76003,1980-81,LAL,34.0,80,80.0,37.2,26.2,10.3,3.4,0.7,2.9,3.1,10.5,18.2,0.574,0.0,0.0,0.0,5.3,6.9,0.766,0.6169
Kareem Abdul-Jabbar,76003,1981-82,LAL,35.0,76,76.0,35.2,23.9,8.7,3.0,0.8,2.7,3.0,9.9,17.1,0.579,0.0,0.0,0.0,4.1,5.8,0.706,0.6081
Kareem Abdul-Jabbar,76003,1982-83,LAL,36.0,79,79.0,32.3,21.8,7.5,2.5,0.8,2.2,2.5,9.1,15.5,0.588,0.0,0.0,0.0,3.5,4.7,0.749,0.6204
Kareem Abdul-Jabbar,76003,1983-84,LAL,37.0,80,80.0,32.8,21.5,7.3,2.6,0.7,1.8,2.8,9.0,15.5,0.578,0.0,0.0,0.0,3.6,4.9,0.723,0.6089
Kareem Abdul-Jabbar,76003,1984-85,LAL,38.0,79,79.0,33.3,22.0,7.9,3.2,0.8,2.1,2.5,9.2,15.3,0.599,0.0,0.0,0.0,3.7,5.0,0.732,0.6286
Kareem Abdul-Jabbar,76003,1985-86,LAL,39.0,79,79.0,33.3,23.4,6.1,3.5,0.8,1.6,2.6,9.6,16.9,0.564,0.0,0.0,0.0,4.3,5.6,0.765,0.6042
Kareem Abdul-Jabbar,76003,1986-87,LAL,40.0,78,78.0,31.3,17.5,6.7,2.6,0.6,1.2,2.4,7.2,12.7,0.564,0.0,0.0,0.333,3.1,4.4,0.714,0.5978
Kareem Abdul-Jabbar,76003,1987-88,LAL,41.0,80,80.0,28.9,14.6,6.0,1.7,0.6,1.2,2.0,6.0,11.3,0.532,0.0,0.0,0.0,2.6,3.4,0.762,0.5705
Kareem Abdul-Jabbar,76003,1988-89,LAL,42.0,74,74.0,22.9,10.1,4.5,1.0,0.5,1.1,1.3,4.2,8.9,0.475,0.0,0.0,0.0,1.6,2.2,0.739,0.5118
Ray Allen,951,1996-97,MIL,21.0,82,81.0,31.0,13.4,4.0,2.6,0.9,0.1,1.8,4.8,11.1,0.43,1.4,3.6,0.393,2.5,3.0,0.823,0.5395
Ray Allen,951,1997-98,MIL,22.0,82,82.0,40.1,19.5,4.9,4.3,1.4,0.1,3.2,6.9,16.0,0.428,1.6,4.5,0.364,4.2,4.8,0.875,0.5383
Ray Allen,951,1998-99,MIL,23.0,50,50.0,34.4,17.1,4.2,3.6,1.1,0.1,2.4,6.1,13.5,0.45,1.5,4.2,0.356,3.5,3.9,0.903,0.5619
Ray Allen,951,1999-00,MIL,24.0,82,82.0,37.4,22.1,4.4,3.8,1.3,0.2,2.2,7.8,17.2,0.455,2.1,5.0,0.423,4.3,4.9,0.887,0.5709
Ray Allen,951,2000-01,MIL,25.0,82,82.0,38.2,22.0,5.2,4.6,1.5,0.2,2.5,7.7,16.0,0.48,2.5,5.7,0.433,4.2,4.8,0.888,0.6073
Ray Allen,951,2001-02,MIL,26.0,69,67.0,36.6,21.8,4.5,3.9,1.3,0.3,2.3,7.7,16.6,0.462,3.3,7.7,0.434,3.1,3.6,0.873,0.5994
Ray Allen,951,2002-03,MIL,27.0,47,46.0,35.8,21.3,4.6,3.5,1.2,0.2,2.5,7.5,17.1,0.437,2.6,6.6,0.395,3.8,4.1,0.913,0.5634
Ray Allen,951,2002-03,SEA,27.0,29,29.0,41.3,24.5,5.6,5.9,1.6,0.1,2.8,8.5,19.3,0.441,2.7,7.7,0.351,4.8,5.2,0.92,0.5674
Ray Allen,951,2002-03,TOT,27.0,76,75.0,37.9,22.5,5.0,4.4,1.4,0.2,2.6,7.9,17.9,0.439,2.6,7.0,0.377,4.2,4.5,0.916,0.5659
Ray Allen,951,2003-04,SEA,28.0,56,56.0,38.4,23.0,5.1,4.8,1.3,0.2,2.8,8.0,18.2,0.44,2.6,6.8,0.392,4.4,4.8,0.904,0.5662
Ray Allen,951,2004-05,SEA,29.0,78,78.0,39.3,23.9,4.4,3.7,1.1,0.1,2.2,8.2,19.2,0.428,2.7,7.1,0.376,4.8,5.5,0.883,0.5527
Ray Allen,951,2005-06,SEA,30.0,78,78.0,38.7,25.1,4.3,3.7,1.3,0.2,2.4,8.7,19.2,0.454,3.4,8.4,0.412,4.2,4.6,0.903,0.5913
Ray Allen,951,2006-07,SEA,31.0,55,55.0,40.3,26.4,4.5,4.1,1.5,0.2,2.8,9.2,21.0,0.438,3.0,8.1,0.372,5.1,5.6,0.903,0.5626
Ray Allen,951,2007-08,BOS,32.0,73,73.0,35.9,17.4,3.7,3.1,0.9,0.2,1.7,6.0,13.5,0.445,2.5,6.2,0.398,2.9,3.2,0.907,0.5836
Ray Allen,951,2008-09,BOS,33.0,79,79.0,36.4,18.2,3.5,2.8,0.9,0.2,1.7,6.3,13.2,0.48,2.5,6.2,0.409,3.0,3.2,0.952,0.6229
Ray Allen,951,2009-10,BOS,34.0,80,80.0,35.2,16.3,3.2,2.6,0.8,0.3,1.6,5.8,12.2,0.477,1.8,5.0,0.363,2.9,3.2,0.913,0.5989
Ray Allen,951,2010-11,BOS,35.0,80,80.0,36.1,16.5,3.4,2.7,1.0,0.2,1.5,6.0,12.2,0.491,2.1,4.7,0.444,2.4,2.7,0.881,0.6162
Ray Allen,951,2011-12,BOS,36.0,46,42.0,34.0,14.2,3.1,2.4,1.1,0.2,1.5,4.9,10.7,0.458,2.3,5.1,0.453,2.1,2.3,0.915,0.6062
Ray Allen,951,2012-13,MIA,37.0,79,0.0,25.8,10.9,2.7,1.7,0.8,0.2,1.3,3.7,8.2,0.449,1.8,4.2,0.419,1.8,2.0,0.886,0.6002
Ray Allen,951,2013-14,MIA,38.0,73,9.0,26.5,9.6,2.8,2.0,0.7,0.1,1.2,3.3,7.4,0.442,1.6,4.2,0.375,1.4,1.6,0.905,0.5923
Giannis Antetokounmpo,203507,2013-14,MIL,19.0,77,23.0,24.6,6.8,4.4,1.9,0.8,0.8,1.6,2.2,5.4,0.414,0.5,1.5,0.347,1.8,2.6,0.683,0.5196
Giannis Antetokounmpo,203507,2014-15,MIL,20.0,81,71.0,31.4,12.7,6.7,2.6,0.9,1.0,2.1,4.7,9.6,0.491,0.1,0.5,0.159,3.2,4.3,0.741,0.5526
Giannis Antetokounmpo,203507,2015-16,MIL,21.0,80,79.0,35.3,16.9,7.7,4.3,1.2,1.4,2.6,6.4,12.7,0.506,0.4,1.4,0.257,3.7,5.1,0.724,0.5654
Giannis Antetokounmpo,203507,2016-17,MIL,22.0,80,80.0,35.6,22.9,8.8,5.4,1.6,1.9,2.9,8.2,15.7,0.521,0.6,2.3,0.272,5.9,7.7,0.77,0.5999
Giannis Antetokounmpo,203507,2017-18,MIL,23.0,75,75.0,36.7,26.9,10.0,4.8,1.5,1.4,3.0,9.9,18.7,0.529,0.6,1.9,0.307,6.5,8.5,0.76,0.5994
Giannis Antetokounmpo,203507,2018-19,MIL,24.0,72,72.0,32.8,27.7,12.5,5.9,1.3,1.5,3.7,10.0,17.3,0.578,0.7,2.8,0.256,6.9,9.5,0.729,0.6448
Giannis Antetokounmpo,203507,2019-20,MIL,25.0,63,63.0,30.4,29.5,13.6,5.6,1.0,1.0,3.7,10.9,19.7,0.553,1.4,4.7,0.304,6.3,10.0,0.633,0.612
Giannis Antetokounmpo,203507,2020-21,MIL,26.0,61,61.0,33.0,28.1,11.0,5.9,1.2,1.2,3.4,10.3,18.0,0.569,1.1,3.6,0.303,6.5,9.5,0.685,0.6335
Giannis Antetokounmpo,203507,2021-22,MIL,27.0,67,67.0,32.9,29.9,11.6,5.8,1.1,1.4,3.3,10.3,18.6,0.553,1.1,3.6,0.293,8.3,11.4,0.722,0.633
Giannis Antetokounmpo,203507,2022-23,MIL,28.0,63,63.0,32.1,31.1,11.8,5.7,0.8,0.8,3.9,11.2,20.3,0.553,0.7,2.7,0.275,7.9,12.3,0.645,0.6048
Giannis Antetokounmpo,203507,2023-24,MIL,29.0,73,73.0,35.2,30.4,11.5,6.5,1.2,1.1,3.4,11.5,18.8,0.611,0.5,1.7,0.274,7.0,10.7,0.657,0.6466
Giannis Antetokounmpo,203507,2024-25,MIL,30.0,67,67.0,34.2,30.4,11.9,6.5,0.9,1.2,3.1,11.8,19.7,0.601,0.2,0.9,0.222,6.5,10.6,0.617,0.6239
Giannis Antetokounmpo,203507,2025-26,MIL,31.0,36,36.0,28.9,27.6,9.8,5.4,0.9,0.7,3.2,10.4,16.6,0.624,0.4,1.3,0.333,6.4,9.9,0.65,0.6585
Carmelo Anthony,2546,2003-04,DEN,20.0,82,82.0,36.5,21.0,6.1,2.8,1.2,0.5,3.0,7.6,17.9,0.426,0.8,2.6,0.322,5.0,6.4,0.777,0.5069
Carmelo Anthony,2546,2004-05,DEN,21.0,75,75.0,34.8,20.8,5.7,2.6,0.9,0.4,3.0,7.1,16.4,0.431,0.6,2.1,0.266,6.1,7.6,0.796,0.5267
Carmelo Anthony,2546,2005-06,DEN,22.0,80,80.0,36.8,26.5,4.9,2.7,1.1,0.5,2.7,9.5,19.7,0.481,0.5,1.9,0.243,7.2,8.9,0.808,0.5611
Carmelo Anthony,2546,2006-07,DEN,23.0,65,65.0,38.2,28.9,6.0,3.8,1.2,0.4,3.6,10.6,22.4,0.476,0.6,2.3,0.268,7.1,8.7,0.808,0.5509
Carmelo Anthony,2546,2007-08,DEN,24.0,77,77.0,36.4,25.7,7.4,3.4,1.3,0.5,3.3,9.5,19.2,0.492,0.8,2.1,0.354,6.0,7.7,0.786,0.5689
Carmelo Anthony,2546,2008-09,DEN,25.0,66,66.0,34.5,22.8,6.8,3.4,1.1,0.4,3.0,8.1,18.3,0.443,1.0,2.6,0.371,5.6,7.1,0.793,0.5321
