player,season,team,GP,MIN,PPG,RPG,APG,FG_PCT,FG3_PCT,FT_PCT,FGA,FTA,FG3A,TS_pct
Michael Jordan,1984-85,CHI,82,38.3,28.2,6.5,5.9,0.515,0.173,0.845,19.8,9.1,0.6,0.5923
Michael Jordan,1985-86,CHI,18,25.1,22.7,3.6,2.9,0.457,0.167,0.84,18.2,6.9,1.0,0.5345
Michael Jordan,1986-87,CHI,82,40.0,37.1,5.2,4.6,0.482,0.182,0.857,27.8,11.9,0.8,0.5615
Michael Jordan,1987-88,CHI,82,40.4,35.0,5.5,5.9,0.535,0.132,0.841,24.4,10.5,0.6,0.603
Michael Jordan,1988-89,CHI,81,40.2,32.5,8.0,8.0,0.538,0.276,0.85,22.2,9.8,1.2,0.6129
Michael Jordan,1989-90,CHI,82,39.0,33.6,6.9,6.3,0.526,0.376,0.848,24.0,8.5,3.0,0.6056
Michael Jordan,1990-91,CHI,82,37.0,31.5,6.0,5.5,0.539,0.312,0.851,22.4,8.2,1.1,0.6056
Michael Jordan,1991-92,CHI,80,38.8,30.1,6.4,6.1,0.519,0.27,0.832,22.7,7.4,1.3,0.5798
Michael Jordan,1992-93,CHI,78,39.3,32.6,6.7,5.5,0.495,0.352,0.837,25.7,7.3,2.9,0.5638
Michael Jordan,1994-95,CHI,17,39.3,26.9,6.9,5.3,0.411,0.5,0.801,23.8,8.0,1.9,0.4923
Michael Jordan,1995-96,CHI,82,37.7,30.4,6.6,4.3,0.495,0.427,0.834,22.6,8.0,3.2,0.5819
Michael Jordan,1996-97,CHI,82,37.9,29.6,5.9,4.3,0.486,0.374,0.833,23.1,7.0,3.6,0.5653
Michael Jordan,1997-98,CHI,82,38.8,28.7,5.8,3.5,0.465,0.238,0.784,23.1,8.8,1.5,0.532
Michael Jordan,2001-02,WAS,60,34.8,22.9,5.7,5.2,0.416,0.189,0.79,22.1,5.6,0.9,0.4661
Michael Jordan,2002-03,WAS,82,37.0,20.0,6.1,3.8,0.445,0.291,0.821,18.6,4.0,0.7,0.4912
LeBron James,2003-04,CLE,79,39.5,20.9,5.5,5.9,0.417,0.29,0.754,18.9,5.8,2.7,0.4871
LeBron James,2004-05,CLE,80,42.4,27.2,7.4,7.2,0.472,0.351,0.75,21.1,8.0,3.9,0.5524
LeBron James,2005-06,CLE,79,42.5,31.4,7.0,6.6,0.48,0.335,0.738,23.1,10.3,4.8,0.5682
