player,PER,WS_per48,USG_pct,AST_pct,BPM,OBPM,era,league_TS,PPG,TS_pct,APG,RPG,FG_PCT,GP,TS_plus,pace,P100,BoxCreation,ContextTS
Michael Jordan,27.91,0.2505,33.3,24.7,9.22,8.34,1990s,0.535,29.4533,0.5592,5.14,6.12,0.4883,1072,1.0452,92.0,32.01,8.597,6.0314
LeBron James,26.71,0.2353,31.4,35.6,8.87,7.07,2010s,0.555,26.7391,0.5917,7.4,7.4739,0.5086,1615,1.0661,97.0,27.57,11.917,5.974
Stephen Curry,23.8,0.209,30.2,31.2,6.26,6.46,2010s,0.56,24.4941,0.6209,6.2118,4.6529,0.4682,1065,1.1087,97.0,25.25,10.447,6.0928
Kevin Durant,24.56,0.216,30.0,21.5,6.32,5.64,2010s,0.555,27.195,0.6318,4.455,6.86,0.5127,1240,1.1384,97.0,28.04,7.343,6.2353
Shaquille O'Neal,26.43,0.2507,30.0,15.8,6.96,5.14,2000s,0.53,22.0905,0.5883,2.3476,10.3857,0.5874,1268,1.11,91.0,24.28,5.261,6.0797
Kareem Abdul-Jabbar,24.58,0.2283,25.8,15.0,5.46,4.11,1970s,0.51,24.59,0.5917,3.625,11.17,0.5584,1560,1.1602,107.0,22.98,4.49,5.8931
Wilt Chamberlain,26.16,0.248,31.0,14.8,7.45,5.08,1960s,0.49,30.6375,0.556,4.2688,22.7062,0.5597,1118,1.1347,126.0,24.32,5.206,6.3177
Kobe Bryant,22.9,0.171,31.8,23.1,4.57,4.25,2000s,0.535,24.2,0.543,4.76,5.2,0.4414,1346,1.015,91.0,26.59,7.456,5.7237
James Harden,23.56,0.196,30.7,38.5,5.73,5.86,2010s,0.56,23.7652,0.6081,8.013,5.8696,0.4389,1388,1.0859,97.0,24.5,12.835,6.0167
Luka Doncic,25.85,0.153,34.0,42.5,7.32,6.38,2020s,0.572,29.06,0.5889,8.11,8.45,0.4637,562,1.0295,100.0,29.06,14.876,6.003
