player_cn,GP,MPG,PPG,RPG,APG,PER_base,WS48,USG,AST%,OWS,DWS,WS,ORTG,DRTG,TOV%,player_en
迈克尔-乔丹,1072,38.3,30.1,6.2,5.3,27.9,0.25,33.3,,149.9,64.1,214.0,118.0,,,Michael Jordan
勒布朗-詹姆斯,1258,38.4,27.1,7.4,7.4,27.5,0.235,31.5,36.4,165.7,70.4,236.1,,,,LeBron James
安东尼-戴维斯,521,34.5,24.0,10.4,2.2,27.5,0.219,28.5,,,,,,,,
沙奎尔-奥尼尔,1207,34.7,23.7,10.9,2.5,26.4,0.208,29.5,,115.4,66.4,181.7,,,,Shaquille O'Neal
大卫-罗宾逊,987,34.7,21.1,10.6,2.5,26.2,0.25,,,98.5,80.1,178.7,,96.0,,
威尔特-张伯伦,1045,45.8,30.1,22.9,4.4,26.1,0.248,,,153.3,93.9,247.3,,,,Wilt Chamberlain
鲍勃-佩蒂特,792,38.8,26.4,16.2,3.0,25.3,0.213,,,91.8,,136.0,,,,
凯文-杜兰特,849,36.9,27.0,7.1,4.1,25.2,0.217,30.1,,101.0,,141.7,,,,Kevin Durant
克里斯-保罗,1013,34.9,18.5,4.5,9.5,25.1,0.244,,45.6,132.2,,179.5,123.0,,,
卡尔-安东尼-唐斯,358,34.4,22.7,11.8,2.8,25.1,0.198,,,,,,120.0,,,
尼科拉-约季奇,373,29.0,16.9,9.7,5.4,24.9,0.213,,,,,,120.0,,,
乔尔-恩比德,202,30.6,24.1,11.5,3.1,24.8,,33.5,,,,,,,,
詹姆斯-哈登,826,34.3,25.1,5.3,6.3,24.7,0.226,30.7,,100.7,,133.3,118.0,,,James Harden
奈伊尔-约翰斯顿,516,35.5,19.4,11.3,2.5,24.7,0.241,,,73.9,,,,,,
卡里姆-贾巴尔,1560,36.8,24.6,11.2,3.6,24.6,0.228,,,178.9,94.5,273.4,,,,
查尔斯-巴克利,1073,36.7,22.1,11.7,3.9,24.6,0.216,,,123.3,53.9,177.2,119.0,,,
哈桑-怀特塞德,404,26.8,13.8,11.8,0.7,24.3,0.199,,,,,,,,,
蒂姆-邓肯,1392,34.0,19.0,10.8,3.0,24.2,0.209,27.0,,100.0,106.3,206.4,,96.0,,
埃尔文-约翰逊,906,36.7,19.5,7.2,11.2,24.1,0.225,,40.9,110.6,,155.8,121.0,,,
卡尔-马龙,1476,37.2,25.0,10.1,3.6,23.9,0.205,29.4,,142.2,92.4,234.6,,,,
斯蒂芬-库里,699,34.3,23.5,4.5,6.6,23.8,0.207,27.9,,76.5,,,,,,Stephen Curry
哈基姆-奥拉朱旺,1238,35.7,21.8,11.1,2.5,23.6,,27.1,,,94.5,162.8,,98.0,,
拉塞尔-威斯布鲁克,874,34.6,23.2,7.1,8.3,23.5,,32.7,42.3,,,,,,,
德维恩-韦德,1054,33.9,22.0,4.7,5.4,23.5,,31.4,,73.3,47.4,120.7,,,,
拉里·伯德,897,38.4,24.3,10.0,6.3,23.5,0.203,,,86.8,59.0,145.8,,,,
奥斯卡-罗波特森,1040,42.2,25.7,7.5,9.5,23.2,0.207,,,152.0,,189.2,,98.0,,
卢卡-东契奇,126,32.7,24.4,8.5,7.1,23.1,,33.3,37.6,,,,,,,Luka Doncic
科怀-伦纳德,518,31.0,18.6,6.4,2.7,23.0,0.22,,,,,,,,,
姚明,486,32.5,19.0,9.2,1.6,23.0,0.2,,,,,,,,,
扬尼斯-阿德托昆博,522,32.6,20.0,8.9,4.3,22.9,0.18,,,,,,,,,
科比-布莱恩特,1346,36.1,25.0,5.2,4.7,22.9,,31.8,,122.1,50.7,172.7,,,,Kobe Bryant
杰里-韦斯特,932,39.2,27.0,5.8,6.7,22.9,0.213,,,124.6,,162.6,,95.0,,
凯文-加内特,1462,34.5,17.8,10.0,3.7,22.7,0.182,,,99.9,91.5,191.4,,,,
米切尔-罗宾逊,127,21.8,8.5,6.7,0.6,22.7,0.223,,,,,,142.0,,,
埃尔金·贝勒,846,40.0,27.4,13.5,4.3,22.7,,,,,,,,,,
德马库斯-考辛斯,565,32.0,21.2,10.9,3.2,22.4,,31.8,,,,,,,,
蒙特雷斯-哈雷尔,318,20.9,12.7,4.9,1.3,22.4,0.19,,,,,,122.0,,,
德克-诺维茨基,1522,33.7,20.7,7.5,2.4,22.4,0.193,,,143.8,62.6,206.3,,,8.4,
凯里-欧文,528,33.8,22.4,3.7,5.7,22.3,,29.3,,,,,,,,
安德烈-德拉蒙德,599,31.0,14.5,13.8,1.3,22.1,,,,,,,,,,
特雷西·麦克格雷迪,938,32.7,19.6,5.6,4.4,22.1,,29.3,,,,,,,,
布雷克-格里芬,622,34.8,21.7,8.8,4.4,22.0,,28.1,,,,,,,,
克林特-卡佩拉,334,26.0,12.2,9.7,1.0,22.0,0.202,,,,,,124.0,,,
达米安-利拉德,607,36.3,24.0,4.2,6.5,21.9,,28.4,,,,,,,,
阿玛雷-斯塔德迈尔,846,31.0,18.9,7.8,1.2,21.8,,,,,,,,,,
约翰-斯托克顿,1504,31.8,13.1,2.7,10.5,21.8,0.209,,50.2,142.8,64.9,207.7,121.0,,,
鲍伯-兰尼尔,959,33.5,20.1,10.1,3.1,21.7,,,,75.4,,117.1,,98.0,,
凯文-乐福,713,32.0,18.2,11.1,2.4,21.6,,,,,,,,,,
多米尼克-威尔金斯,1074,35.5,24.8,6.7,2.5,21.6,,30.3,,82.3,,117.5,,,,
克莱德-拉福莱特,704,27.1,17.0,9.5,1.7,21.6,0.178,,,,,,,,,
