player_cn,GP,MPG,PPG,RPG,APG,PER_base,WS48,USG,AST%,OWS,DWS,WS,ORTG,DRTG,TOV%,player_en
尼科拉-约季奇,14,39.6,25.1,13.0,8.4,29.6,0.263,,37.1,,,,127.0,,,
迈克尔-乔丹,179,41.8,33.4,6.4,5.7,28.6,0.255,35.6,,27.3,12.4,39.8,,,,Michael Jordan
勒布朗-詹姆斯,239,42.1,28.9,8.9,7.1,28.3,0.244,32.2,34.9,35.1,15.9,51.0,,,,LeBron James
安东尼-戴维斯,13,40.8,30.5,12.7,1.8,26.7,0.184,30.6,,,,,,,,
沙奎尔-奥尼尔,216,37.5,24.3,11.6,2.7,26.1,0.184,30.2,,20.1,11.0,31.1,,,,Shaquille O'Neal
哈基姆-奥拉朱旺,145,39.6,25.9,11.2,3.2,25.7,0.189,28.9,,11.9,10.7,22.6,,,,
克里斯-保罗,102,37.3,20.9,5.1,8.5,24.5,0.199,,41.5,12.2,,15.8,,,,
凯文-杜兰特,139,40.3,29.1,7.7,4.0,24.4,0.198,30.7,,16.7,6.4,23.1,,,,Kevin Durant
蒂姆-邓肯,251,37.3,20.6,11.4,3.0,24.3,0.194,27.0,,20.5,17.4,37.8,,,,
查尔斯-巴克利,123,39.4,23.0,12.9,3.9,24.2,0.193,,,13.6,5.9,19.5,,,,
德克-诺维茨基,145,40.6,25.3,10.0,2.5,23.8,0.188,27.1,,18.0,,23.1,,,,
特雷西·麦克格雷迪,50,34.4,22.2,5.7,5.0,23.4,,33.5,32.9,,,,,,,
拉塞尔-威斯布鲁克,98,37.9,25.4,7.0,7.9,23.2,,34.0,39.8,,,,,,,
杰里-韦斯特,153,41.3,29.1,5.6,6.3,23.1,0.203,,,21.3,,26.7,,,,
扬尼斯-阿德托昆博,34,36.4,23.0,10.3,4.6,23.1,0.172,28.9,,,,,,,,
埃尔文-约翰逊,190,39.7,19.5,7.7,12.3,23.0,0.208,,42.2,23.1,9.5,32.6,122.0,,,
大卫-罗宾逊,123,34.3,18.1,10.6,2.3,23.0,0.199,,,7.8,9.7,17.5,,96.0,,
卡里姆-贾巴尔,237,37.3,24.3,10.5,3.2,23.0,0.193,,,21.8,13.7,35.6,,,,Kareem Abdul-Jabbar
科怀-伦纳德,111,34.6,19.5,7.7,2.4,23.0,0.219,,,11.0,6.6,17.6,121.0,,,
斯蒂芬-库里,112,37.8,26.5,5.4,6.3,23.0,0.194,29.3,,12.3,,17.1,,,,Stephen Curry
威尔特-张伯伦,160,47.2,22.5,24.5,4.2,22.7,0.2,,,15.7,15.8,31.5,,,,Wilt Chamberlain
鲍勃-佩蒂特,88,40.3,25.5,14.8,2.7,22.6,,,,9.2,,,,,,
德维恩-韦德,177,37.8,22.3,5.2,4.9,22.4,,30.1,,12.3,9.3,21.6,,,,
科比-布莱恩特,220,39.3,25.6,5.1,4.7,22.4,,31.0,,21.0,7.3,28.3,,,,Kobe Bryant
德怀特-霍华德,95,37.0,18.4,13.8,1.4,22.3,,,,,6.4,,,,,
詹姆斯-哈登,116,35.0,22.9,5.4,5.6,22.3,,29.1,,10.5,,14.4,,,,James Harden
伯纳德-金,28,33.4,24.5,4.3,2.3,22.2,0.173,28.2,,,,,,,,
蒙特雷斯-哈雷尔,13,14.5,9.1,3.2,1.2,22.1,,,,,,,130.0,,,
拉里-麦克内尔,12,10.3,6.4,2.3,0.2,21.9,0.247,,,,,,,,,
埃尔金·贝勒,134,41.1,27.0,12.9,4.0,21.8,,,,10.7,,15.4,,,,
阿玛雷-斯塔德迈尔,78,30.7,18.7,7.4,0.8,21.7,,27.2,,,,,,,,
布雷克-格里芬,53,35.3,21.2,8.5,4.0,21.6,,28.0,,,,,,,,
姚明,28,35.3,19.8,9.3,1.0,21.5,,,,,,,,,,
凯里-欧文,61,36.4,23.5,3.3,5.0,21.4,,29.0,,,,,,,,
拉里·伯德,164,42.0,23.8,10.3,6.5,21.4,0.173,,,13.8,11.1,24.8,,,,
拜伦-戴维斯,50,37.0,18.8,4.3,6.2,21.4,0.176,,32.7,,,,,,,
特里-弗尔诺,16,19.4,11.5,2.6,2.1,21.3,0.172,,,,,,,,,
阿伦-艾弗森,71,45.1,29.7,3.8,6.0,21.2,,34.3,,,,,,,,
贾维尔-麦基,44,13.8,6.5,4.3,0.3,21.2,0.18,,,,,,,,,
凯文-加内特,143,36.9,18.2,10.7,3.3,21.1,,,,7.1,9.3,16.4,,,,
沙巴兹-内皮尔,9,12.2,6.9,1.4,1.9,21.1,,,,,,,128.0,,,
卡尔-马龙,193,41.0,24.7,10.7,3.2,21.1,,29.9,,11.3,11.6,23.0,,,,
约纳斯-瓦兰丘纳斯,43,25.5,12.7,9.4,0.7,21.0,,,,,,,,,,
奈伊尔-约翰斯顿,23,30.5,15.0,11.2,3.3,21.0,,,,,,,,,,
奥斯卡-罗波特森,86,42.7,22.2,6.7,8.9,21.0,0.178,,,10.2,,13.6,,,,
科里-马盖蒂,12,24.3,15.3,7.3,1.4,20.9,0.178,27.5,,,,,,,,
罗伊-塔普雷,24,33.6,17.0,12.8,1.3,20.9,,,,,,,,,,
鲍伯-兰尼尔,67,35.2,18.6,9.6,3.5,20.8,0.175,,,,,,,,,
乔治-亚德利,46,36.8,20.3,9.9,2.4,20.7,0.174,,,,,,,,,
克林特-卡佩拉,61,21.4,8.3,7.7,0.9,20.7,0.192,,,,,,125.0,,,
