consensus,player,PPG,MPG,TS_pct,APG,GP,seasons,A_rank,B_rank,C_rank,std,top10_votes,top20_votes,A_score,B_score,C_score,o_dpm
1,Stephen Curry,24.4941,33.3059,0.6209,6.2118,1065,17,10,3,3,4.0,3,3,30.287599999999998,4.578564644014482,0.9310999999999999,4.518
2,Kevin Durant,27.195,36.255,0.6318,4.455,1240,20,3,14,4,6.1,2,3,33.0604,3.7771962497581537,0.91772,4.415
2,Wilt Chamberlain,30.6375,45.55,0.556,4.2688,1118,16,2,4,67,37.0,2,2,34.014,4.493392824747835,0.5319,
4,Joel Embiid,27.12,31.34,0.6088,3.73,487,10,6,27,1,13.8,2,2,31.2432,2.5817672826597233,0.9933000000000001,2.389
4,Luka Doncic,29.06,35.14,0.5889,8.11,562,10,8,6,6,1.2,3,3,31.0736,4.385485613997804,0.90072,4.451
6,Shai Gilgeous-Alexander,25.45,33.3375,0.6087,5.3875,524,8,13,7,5,4.2,2,3,30.1812,4.325891741549749,0.91434,2.786
6,Nikola Jokic,22.4636,32.1364,0.6379,7.6091,804,11,23,2,7,11.0,2,2,28.3868,5.008908654556514,0.86042,3.889
8,James Harden,23.7652,35.2043,0.6081,8.013,1388,23,12,5,8,3.5,2,3,30.2102,4.399768406673777,0.8535599999999999,4.636
9,Michael Jordan,29.4533,37.5733,0.5592,5.14,1072,15,1,10,9,4.9,3,3,36.0368,4.062622766807684,0.8515199999999999,3.09
9,LeBron James,26.7391,37.4087,0.5917,7.4,1615,23,7,9,10,1.5,3,3,31.1042,4.1920990948669825,0.81484,5.286
11,Damian Lillard,25.3615,36.2462,0.5894,6.8231,900,13,19,8,11,5.7,1,3,28.689799999999998,4.250313544523151,0.81088,4.508
12,Giannis Antetokounmpo,24.6846,32.5462,0.6072,5.1,895,13,15,17,2,8.1,1,3,29.739799999999995,3.312809933778733,0.94666,2.806
12,Kyrie Irving,24.3562,34.8625,0.5882,5.6188,839,16,26,12,15,7.4,0,2,26.9246,3.985237512905533,0.78098,3.726
14,George Gervin,26.19,33.54,0.5707,2.81,791,10,17,42,14,15.4,0,2,29.6334,2.1114209050643002,0.78776,
15,Shaquille O'Neal,22.0905,33.4714,0.5883,2.3476,1268,21,9,59,18,26.7,1,2,30.325400000000002,1.59128985519169,0.77088,1.676
16,Adrian Dantley,22.7105,34.6368,0.6001,2.8526,1107,19,4,36,19,16.0,1,2,31.5578,2.3353946585110084,0.7705599999999999,
16,Kareem Abdul-Jabbar,24.59,36.79,0.5917,3.625,1560,20,14,19,31,8.7,0,2,30.1592,3.2812315452986165,0.6860799999999999,
19,Karl Malone,24.6895,37.0526,0.5738,3.5842,1476,19,5,50,20,22.9,1,2,31.351,1.8965763842088332,0.76084,1.912
19,Kawhi Leonard,20.5571,31.3143,0.601,3.0857,791,14,42,20,13,15.1,0,2,25.111600000000003,3.207157868796695,0.78956,3.632
19,Oscar Robertson,25.5286,42.0714,0.5602,9.45,1040,14,20,1,70,35.6,1,2,28.5826,5.2135677580621635,0.50546,
22,Kobe Bryant,24.2,35.775,0.5429,4.76,1346,20,11,31,21,10.0,0,1,30.275199999999998,2.4622406013468194,0.7456800000000001,4.56
22,Jerry West,26.7429,38.8857,0.5478,6.6929,932,14,21,15,62,25.6,0,1,28.4998,3.7177200809781987,0.5584800000000001,
22,Donovan Mitchell,25.2667,33.8444,0.5753,4.8889,604,9,30,21,12,9.0,0,1,26.2902,3.1439103542101425,0.79312,3.786
24,Devin Booker,24.7636,34.3455,0.5797,5.3273,731,11,29,23,17,6.0,0,1,26.322400000000002,2.917768470975136,0.77614,2.784
25,Larry Bird,23.7615,37.8692,0.559,6.2769,897,13,24,18,37,9.7,0,1,28.200799999999997,3.2936863906331997,0.6663600000000001,
26,Charles Barkley,21.5875,36.4125,0.6031,3.9625,1073,16,16,47,25,15.9,0,1,29.657400000000003,1.9623096785812855,0.71368,
26,Jayson Tatum,23.3222,34.1778,0.5731,3.8556,595,9,37,25,22,7.9,0,0,25.6622,2.8218860049058696,0.7431399999999999,3.28
28,Ja Morant,22.6143,31.8286,0.5542,7.5714,327,7,60,26,24,20.2,0,0,22.4486,2.691275092953611,0.72424,2.127
29,Carmelo Anthony,22.3714,34.4048,0.5417,2.6619,1337,21,27,55,26,16.5,0,0,26.498599999999996,1.703211809089767,0.7108399999999999,2.275
30,Dominique Wilkins,24.3412,34.5824,0.5303,2.4353,1148,17,22,54,28,17.0,0,0,28.449,1.7078198424946418,0.70272,
31,David Robinson,20.4929,33.8429,0.5758,2.3714,987,14,25,69,30,24.1,0,0,27.509,1.2215787866012646,0.69372,0.213
32,Dirk Nowitzki,20.1095,33.0048,0.5678,2.3381,1522,21,32,40,29,5.7,0,0,26.212600000000002,2.1774925160168226,0.6955,3.575
33,Anthony Davis,23.5938,33.8125,0.5832,2.7875,858,16,33,33,16,9.8,0,1,26.1896,2.4333962255453327,0.7777799999999999,1.521
34,Allen Iverson,24.16,39.325,0.5232,5.895,1064,20,18,34,38,10.6,0,1,29.0856,2.42104764087431,0.66106,2.876
34,Dwyane Wade,20.6944,32.6556,0.5435,5.1556,1121,18,34,46,27,9.6,0,0,26.164,2.007493224927603,0.70734,3.249
36,Alex English,20.7824,31.6118,0.5436,3.5118,1271,17,35,41,35,3.5,0,0,26.0318,2.1757881627718128,0.6814199999999999,
36,Russell Westbrook,20.425,32.61,0.5247,7.87,1374,20,57,35,33,13.3,0,0,23.1362,2.4034375128304335,0.68494,2.782
38,Bernard King,21.4071,32.3929,0.5601,3.1357,874,14,36,66,32,18.6,0,0,26.0062,1.4024721898716521,0.68546,
39,Anthony Edwards,24.7,34.8833,0.5729,4.0667,439,6,43,38,23,10.4,0,0,25.107999999999997,2.30335036408104,0.73294,3.332
40,Jimmy Butler,18.3368,32.6421,0.5921,4.4737,1027,19,66,29,40,19.0,0,0,21.427599999999998,2.517638715553125,0.65432,2.062
41,Paul Pierce,18.9316,33.1895,0.5654,3.3579,1343,19,39,58,41,10.4,0,0,25.3622,1.6185558731574148,0.64596,2.714
41,Ray Allen,19.285,35.965,0.5804,3.51,1376,20,41,30,47,8.6,0,0,25.1684,2.4644645586752056,0.62472,3.494
43,Patrick Ewing,20.5765,34.0235,0.5443,1.7941,1183,17,38,84,42,25.5,0,0,25.4876,0.2685839596950794,0.64554,-3.19
44,Reggie Miller,18.1167,34.25,0.6107,2.9444,1389,18,44,37,44,4.0,0,0,25.0396,2.322511485971122,0.64394,2.356
44,Elgin Baylor,25.2786,38.4214,0.4909,3.9429,846,14,40,44,77,20.3,0,0,25.318199999999997,2.059284551737301,0.45914,
46,Clyde Drexler,20.5353,34.8706,0.5475,5.5529,1162,17,45,39,50,5.5,0,0,24.789,2.294471746114643,0.61732,
46,Klay Thompson,18.5462,31.1,0.5682,2.2538,929,13,72,45,39,17.6,0,0,20.774600000000003,2.021762734703234,0.6552,1.481
48,Hakeem Olajuwon,21.0056,35.15,0.5454,2.4056,1238,18,31,76,46,22.9,0,0,26.260999999999996,0.8758117262463078,0.6327200000000001,-2.03
49,Kevin McHale,17.8692,31.0154,0.5971,1.7615,971,13,48,62,43,9.8,0,0,24.617,1.493825292578272,0.6453599999999999,
50,Moses Malone,17.7905,30.0952,0.5546,1.1857,1411,21,46,90,49,24.6,0,0,24.7186,-0.1486923796728905,0.61736,
50,Vince Carter,16.6,30.0538,0.5286,2.9885,1691,26,52,49,48,2.1,0,0,23.925800000000002,1.9015656648120562,0.62008,1.223
52,Rick Barry,23.07,36.2,0.5088,5.05,794,10,50,32,68,18.0,0,0,24.144999999999996,2.44824308693629,0.5314,
53,Tracy McGrady,17.0706,30.0,0.5042,4.1,968,17,47,51,51,2.3,0,0,24.6918,1.81998234833014,0.61712,3.008
53,Magic Johnson,19.3846,36.4077,0.609,10.9231,906,13,51,11,56,24.7,0,1,24.0032,3.991734173853612,0.5981799999999999,
55,Paul George,19.5562,32.0688,0.5617,3.6438,937,16,61,52,34,13.7,0,0,22.417,1.814597900889453,0.68258,1.952
56,Julius Erving,21.8091,34.2182,0.556,3.8455,836,11,53,68,45,11.7,0,0,23.8342,1.283934090154924,0.6375,
57,Bob McAdoo,20.01,31.345,0.5338,2.265,1000,20,28,64,54,18.6,0,0,26.390800000000002,1.440240135305547,0.61326,
58,Chris Bosh,19.3923,35.7231,0.5692,2.0462,893,13,55,73,52,11.4,0,0,23.2638,0.9778730253097265,0.61626,1.328
58,Tim Duncan,18.8895,33.8789,0.5492,3.0105,1392,19,54,75,55,11.8,0,0,23.7334,0.8993562366359134,0.6006199999999999,2.308
60,Yao Ming,18.5625,31.175,0.5937,1.55,486,8,56,83,36,23.6,0,0,23.165599999999998,0.3768081074208327,0.6791200000000001,-0.076
61,Tony Parker,15.3722,30.1278,0.542,5.5889,1254,18,82,53,58,15.5,0,0,18.943,1.708707071931195,0.57388,1.176
62,Nate Archibald,18.2308,35.0385,0.5391,7.2615,876,13,59,24,73,25.2,0,0,22.9296,2.8959298176498054,0.49004,
62,Chris Paul,16.2905,32.7143,0.5711,8.9333,1370,21,73,13,59,31.4,0,1,20.2334,3.900438927745191,0.57184,3.818
64,Pete Maravich,22.225,34.375,0.5004,4.7833,701,12,58,61,64,3.0,0,0,23.0874,1.5375092558865284,0.5551600000000001,
65,Kevin Garnett,16.1652,32.213,0.5388,3.3739,1509,23,62,63,63,0.6,0,0,22.0696,1.4542475366340004,0.5573,1.856
66,Steve Nash,13.5167,30.6056,0.5894,8.1611,1217,18,81,22,66,30.7,0,0,19.1518,3.0041687257573404,0.54584,4.588
67,Gary Payton,16.7526,35.7684,0.5199,6.8684,1415,19,67,28,69,23.1,0,0,21.423199999999998,2.537226314193336,0.50586,1.194
67,James Worthy,17.7167,32.6,0.5571,3.0667,926,12,69,67,61,4.2,0,0,21.045199999999998,1.3067600270365012,0.55946,
69,John Havlicek,20.75,36.5,0.491,4.8,1270,16,68,65,83,9.6,0,0,21.3916,1.4300533561652249,0.43304000000000004,
70,Dwight Howard,15.3889,31.1,0.6095,1.2889,1242,18,70,93,57,18.2,0,0,20.8842,-0.3730585568867597,0.59206,0.041
72,Dave Bing,20.3,36.375,0.5011,6.0083,901,12,71,57,80,11.6,0,0,20.8168,1.6335402203144465,0.4505,
72,Isiah Thomas,19.0077,36.0769,0.5137,9.1846,979,13,75,48,71,14.6,0,0,19.9358,1.9306749234319769,0.49798,
72,Manu Ginobili,13.15,25.1375,0.5805,3.7812,1057,16,88,71,53,17.5,0,0,17.5186,1.0190898071965089,0.61478,2.399
74,Bob Pettit,26.1818,38.5727,0.5091,2.9636,792,11,49,72,82,16.9,0,0,24.2956,0.9888725339826459,0.44418,
74,Scottie Pippen,15.5235,34.2235,0.5277,5.1059,1178,17,77,70,72,3.6,0,0,19.9014,1.052048080853429,0.49356,-0.195
76,Earl Monroe,17.8933,30.5467,0.5104,3.6133,989,15,79,60,74,9.8,0,0,19.488599999999998,1.55895744334754,0.48697999999999997,
77,John Stockton,13.0579,31.6684,0.6036,10.4368,1504,19,87,16,75,38.0,0,1,17.9232,3.631340211060419,0.4669,3.2
78,Pau Gasol,15.5136,30.9455,0.5521,2.9955,1322,22,76,78,60,9.9,0,0,19.9196,0.6364426425592924,0.56088,0.871
78,Billy Cunningham,20.2333,34.0333,0.4991,4.1222,654,9,74,81,76,3.6,0,0,20.1268,0.4441132593988566,0.4617,
80,Elvin Hayes,20.95,38.3625,0.4922,1.8438,1303,16,64,85,78,10.7,0,0,21.6112,0.2360535812100757,0.45518000000000003,
80,Walt Frazier,17.0923,34.3615,0.5248,5.5615,825,13,78,43,87,23.2,0,0,19.6258,2.0781123769396332,0.42146,
82,Hal Greer,18.6467,34.86,0.5005,3.9733,1122,15,80,79,89,5.5,0,0,19.2062,0.5939592228459354,0.39446000000000003,
83,Robert Parish,14.2095,27.9143,0.5637,1.3429,1611,21,84,86,65,11.6,0,0,18.352600000000002,0.056969523535316036,0.54984,
83,Paul Arizin,22.79,38.5111,0.5062,2.33,713,10,65,88,84,12.3,0,0,21.4666,-0.06931031699077606,0.43116,
85,George Mikan,22.4429,32.9,0.4786,2.7571,439,7,63,89,85,14.0,0,0,21.700400000000002,-0.1359220352754098,0.43069999999999997,
85,Jerry Lucas,16.2308,37.7,0.5432,3.1308,896,13,85,82,95,6.8,0,0,18.227,0.4026281158602383,0.34917999999999993,
87,Sam Jones,17.4,27.475,0.4988,2.5083,871,12,86,92,81,5.5,0,0,18.1918,-0.21367168461553376,0.44514,
88,Willis Reed,17.59,34.47,0.5159,1.82,650,10,83,95,88,6.0,0,0,18.842799999999997,-0.5792556634952968,0.41257999999999995,
89,Lenny Wilkens,16.4667,35.54,0.5072,6.6133,1077,15,90,74,94,10.6,0,0,17.341,0.9112355542556823,0.36262,
89,Dolph Schayes,17.7333,33.1231,0.4803,3.0267,996,15,89,97,90,4.4,0,0,17.5062,-0.7870522248107674,0.38894,
91,Dave Cowens,17.1455,37.9091,0.4948,3.7818,766,11,91,80,92,6.7,0,0,16.8176,0.47790147044880404,0.36988,
91,Jason Kidd,12.2348,35.9739,0.5081,8.8261,1526,23,95,56,91,21.5,0,0,15.140999999999998,1.649814675478669,0.372,1.208
