player_en,GP,MPG,PPG,RPG,APG,PER,WS48,USG,OWS,DWS,WS,PO_GP,PO_PPG,PO_PER,PO_WS48,TS_pct,db_peak_years,db_PPG,db_P100,db_rTS,db_PtsCreated,db_O_DPM,db_DPM,db_OnOff,era,pace,P100,TS_plus,PO_boost,score_L1,rank_L1
Michael Jordan,1072,38.3,30.1,6.2,5.3,27.9,0.25,33.3,149.9,64.1,214.0,179.0,33.4,28.6,0.255,0.5592,2002-2003,21.458,32.573,-4.269,31.276,3.09,2.385,2.975,1990s,92,32.72,1.0452,2.51,1.3228126650938314,1
LeBron James,1258,38.4,27.1,7.4,7.4,27.5,0.235,31.5,165.7,70.4,236.1,239.0,28.9,28.3,0.244,0.5917,2009-2016,27.467,38.391,7.346,44.631,7.214,8.688,15.85,2010s,97,27.94,1.0661,2.91,0.59089554625338,2
Wilt Chamberlain,1045,45.8,30.1,22.9,4.4,26.1,0.248,,153.3,93.9,247.3,160.0,22.5,22.7,0.2,0.556,,,,,,,,,1960s,126,23.89,1.1347,-13.03,0.3688460326804232,3
Kevin Durant,849,36.9,27.0,7.1,4.1,25.2,0.217,30.1,101.0,,141.7,139.0,29.1,24.4,0.198,0.6318,2013-2017,27.766,38.058,9.601,38.971,6.248,6.192,9.106,2010s,97,27.84,1.1384,-3.17,0.21314353751755008,4
Shaquille O'Neal,1207,34.7,23.7,10.9,2.5,26.4,0.208,29.5,115.4,66.4,181.7,216.0,24.3,26.1,0.184,0.5883,2001-2005,25.546,35.971,6.538,32.592,4.05,7.186,11.834,2000s,91,26.04,1.11,-1.14,-0.022826578382601933,5
James Harden,826,34.3,25.1,5.3,6.3,24.7,0.226,30.7,100.7,,133.3,116.0,22.9,22.3,,0.6081,2015-2019,30.398,40.885,6.254,50.483,6.274,5.472,5.946,2010s,97,25.88,1.0957,-9.72,-0.15357244988852894,6
Kareem Abdul-Jabbar,1560,36.8,24.6,11.2,3.6,24.6,0.228,,178.9,94.5,273.4,237.0,24.3,23.0,0.193,0.5917,,,,,,,,,1970s,107,22.99,1.1602,-6.5,-0.18236728823570353,7
Kobe Bryant,1346,36.1,25.0,5.2,4.7,22.9,0.227375,31.8,122.1,50.7,172.7,220.0,25.6,22.4,,0.543,2003-2010,29.514,38.512,1.823,41.183,5.788,4.46,11.329,2000s,91,27.47,1.0245,-2.18,-0.5933918570548282,8
Stephen Curry,699,34.3,23.5,4.5,6.6,23.8,0.207,27.9,76.5,,,112.0,26.5,23.0,0.194,0.6209,2015-2019,26.554,37.625,10.05,41.508,6.084,7.146,17.817,2010s,97,24.23,1.1187,-3.36,-0.6754069116340508,9
Luka Doncic,126,32.7,24.4,8.5,7.1,23.1,0.227375,33.3,,,,,,,,0.5889,2020-2026,31.388,42.653,2.863,51.905,4.92,4.438,6.41,2020s,100,24.4,1.0295,0.0,-0.8765472773960823,10
