player,PPG,PPG_z,TS_pct,TS_plus,TS_plus_z,APG,APG_z,RPG,RPG_z,SPG,BPG,TOV,MPG,GP,seasons,first_year,last_year,peak_PPG,peak_PPG_z,peak_TS_z,peak_APG_z,peak_seasons,longevity,longevity_norm,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,db_seasons,peak_score,career_score,total_score,rank,L2_dpm_z,L2_onoff_z,L2_score,L2_rank
LeBron James,26.7391,1.0327,0.5917,1.0291,0.4466,7.4,1.0352,7.4739,0.4407,1.4652,0.7217,3.4826,37.4087,1615,23,2003,2025,28.46,1.7514,0.8513,1.0212,5,3.0298980179699733,0.9701297824737963,5.286,0.906,6.19,9.67,4.262,44.085,23.0,1.184529852627664,1.1757718247604108,1.1390224302367145,7,1.82024442162095,1.3450040391161293,1.3644590465925692,1
Nikola Jokic,22.4636,0.1486,0.6379,1.086,1.2486,7.6091,1.0425,11.1182,1.7483,1.3,0.7364,3.0273,32.1364,804,11,2015,2025,27.48,0.6894,1.6302,1.5338,5,2.3799977033408277,0.527029974842543,3.889,1.753,5.64,12.836,7.242,40.146,11.0,0.9671720638304386,1.062930519269759,0.9078711826646557,14,1.5076903027007449,2.2734138088971516,1.302547466707294,2
Stephen Curry,24.4941,0.6416,0.6209,1.0714,0.9652,6.2118,0.5235,4.6529,-0.5701,1.4235,0.2882,3.0706,33.3059,1065,17,2009,2025,27.96,1.2513,1.6956,0.7336,5,2.6381858698651177,0.7030617820972619,4.518,0.111,4.629,9.776,6.924,38.926,16.0,1.4292448388636294,1.2499890473731063,1.230231490063199,6,0.9331590041037872,1.3760878785339399,1.1245510850164653,3
Tim Duncan,18.8895,0.0103,0.5492,0.9845,-0.1812,3.0105,-0.549,10.7684,1.5131,0.7474,2.1579,2.4105,33.8789,1392,19,1997,2015,23.2,0.73,0.4128,-0.4636,5,2.889015825485029,0.874076786370279,2.308,4.909,7.216,8.185,1.24,25.125,16.0,0.112284372228394,-0.13323007809514745,0.19098851995970859,46,2.4032999234611854,0.9095370434986885,1.1113980546806672,4
John Stockton,13.0579,-0.9526,0.6036,1.0781,1.0664,10.4368,2.105,2.7,-1.314,2.1579,0.2263,2.8,31.6684,1504,19,1984,2002,15.3,-0.4544,1.4792,2.6185,5,2.96225115493054,0.9240083830454319,3.2,1.887,5.083,10.784,6.155,29.114,3.0,0.01358971744169779,0.027361720000734557,0.19980505133015566,44,1.191158222267011,1.6716775967712334,0.8805615778759457,5
Kevin Garnett,16.1652,-0.3658,0.5388,0.9656,-0.3611,3.3739,-0.3719,9.3435,0.9921,1.2304,1.2652,1.9565,32.213,1509,23,1995,2015,22.62,0.6359,0.0676,0.3684,5,2.965398781073534,0.9261544237643866,1.856,3.594,5.452,10.782,0.791,24.482,16.0,-0.20803825491078856,-0.5760815869319549,-0.09161271878210339,66,1.400853622051657,1.671091109235048,0.8772937167421475,6
Kevin Durant,27.195,1.0221,0.6318,1.0866,1.1669,4.455,-0.2346,6.86,0.2292,0.96,1.155,3.145,36.255,1240,20,2007,2025,29.18,1.8205,1.1904,-0.0946,5,2.7801817731473784,0.7998741024062604,4.415,-0.212,4.205,6.009,6.908,37.496,18.0,1.481975235572023,1.7129457938722297,1.4148461764289324,2,0.6922081924271207,0.2714386041292934,0.8665175697068539,7
Joel Embiid,27.12,0.7556,0.6088,1.0326,0.4972,3.73,-0.7057,10.32,1.4179,0.87,1.58,3.37,31.34,487,10,2016,2025,30.88,1.1973,0.9116,-0.6672,5,1.937161186862078,0.22510555528629406,2.389,2.191,4.58,9.922,3.487,36.241,10.0,0.8195737260632634,0.988271031323213,0.7512892834858543,19,0.9053132735090783,1.4189014686754526,0.8462675046640519,8
Giannis Antetokounmpo,24.6846,0.5363,0.6072,1.0401,0.5858,5.1,-0.0105,10.1,1.4105,1.1077,1.1846,3.0692,32.5462,895,13,2013,2025,28.88,1.1054,0.9805,0.2183,5,2.4777674047785294,0.5936890222749658,2.806,1.87,4.675,8.304,4.594,37.607,13.0,0.8018535021383615,0.876673480064055,0.7826665995433904,17,0.9592998940498408,0.9444330519017021,0.8359704336917942,9
Shaquille O'Neal,22.0905,0.3409,0.5883,1.0563,0.8509,2.3476,-0.7996,10.3857,1.0551,0.5857,2.0952,2.719,33.4714,1268,21,1992,2010,27.96,1.4676,0.7634,-0.4949,5,2.8011406241682217,0.8141637752167855,1.676,2.82,4.498,6.872,6.155,24.937,11.0,0.9112700040718973,0.9182993426430303,0.8939575598722148,15,0.858714295779157,0.5245079759931663,0.7987296401973066,10
James Harden,23.7652,0.3941,0.6081,1.0428,0.5904,8.013,1.1529,5.8696,-0.1459,1.3696,0.5652,3.7522,35.2043,1388,23,2009,2025,31.44,1.6692,0.9678,1.285,5,2.886298432508529,0.8722240771500461,4.636,-0.308,4.329,4.724,5.126,41.438,17.0,1.208562743948912,0.7642626482660104,1.0080049818842682,9,0.7626749392382212,-0.10537963786963704,0.7447401928122218,11
Dirk Nowitzki,20.1095,0.2522,0.5678,1.0128,0.3226,2.3381,-0.8227,7.3476,0.3773,0.7857,0.819,1.6048,33.0048,1522,21,1998,2018,24.72,1.0083,0.4692,-0.6238,5,2.973536541162207,0.9317027207088155,3.575,0.771,4.346,8.764,3.093,26.39,19.0,0.35859155609865434,0.445682990210502,0.4993412192542409,25,0.7723357029139368,1.0793251852242762,0.7414837588903957,12
Kawhi Leonard,20.5571,0.0078,0.601,1.0354,0.4901,3.0857,-0.8051,6.25,0.0275,1.7429,0.6429,1.7143,31.3143,791,14,2011,2025,25.74,0.7258,0.7356,-0.5081,5,2.365216308575349,0.5169520705398768,3.632,1.558,5.187,7.779,4.572,28.63,13.0,0.3438058425259135,0.37341543969508073,0.38731796727945633,30,1.2502593647537406,0.7904800736531118,0.7397059910224939,13
Chris Paul,16.2905,-0.5908,0.5711,0.9902,-0.064,8.9333,1.598,4.2952,-0.7368,1.9381,0.1667,2.2143,32.7143,1370,21,2005,2025,20.38,0.3763,0.5299,2.4393,5,2.8739779481204883,0.8638240131104098,3.818,1.287,5.104,8.381,2.191,38.293,20.0,-0.0635440813430391,-0.5343321945668466,-0.019306896419491543,61,1.2030921068076004,0.9670128220448287,0.7080317746704161,14
David Robinson,20.4929,0.1599,0.5758,1.038,0.5211,2.3714,-0.7371,10.4357,0.8693,1.3714,2.8286,2.35,33.8429,987,14,1989,2002,26.28,0.9007,0.7243,-0.2644,5,2.5677596637607922,0.6550454360906706,0.213,4.047,4.263,7.777,2.604,14.359,3.0,0.4646240795860406,0.5208712084432066,0.5195824895441163,24,0.7251684449677968,0.7898935861169267,0.6459255618076706,15
Steve Nash,13.5167,-0.8366,0.5894,1.0569,0.9279,8.1611,1.5019,2.9111,-1.1452,0.7222,0.0944,2.7722,30.6056,1217,18,1996,2013,17.12,-0.3459,1.2226,2.0145,5,2.7626307694063463,0.7879078881941248,4.588,-0.871,3.722,7.887,7.143,37.57,13.0,-0.09286907823522306,0.016955080354952412,0.11623356262769916,52,0.4177288479935593,0.8221504006071074,0.4194695886877473,16
Damian Lillard,25.3615,0.6918,0.5894,1.0147,0.2084,6.8231,0.7509,4.2846,-0.7903,0.9692,0.3077,2.8385,36.2462,900,13,2012,2024,28.24,1.0754,0.5005,0.8266,5,2.482872061090213,0.5971693594571709,4.508,-1.458,3.05,7.367,2.783,41.503,13.0,0.4308438732791485,0.7174318840798998,0.5500853737549783,23,0.03584454269469117,0.66966364119898,0.3933731249233821,17
