player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,L2_score,L2_rank
LeBron James,26.7391,7.4739,7.4,1.4652,0.7217,3.4826,0.5917,0.5086,0.7362,37.4087,1615,23,2003-04,2025-26,2010s+,0.565,1.0473,99,27.01,5.286,0.906,6.19,9.67,4.262,44.085,36.368,5.119,0.636,23.0,0.8983124556970588,6,1.4535641922209592,1
Nikola Jokic,22.4636,11.1182,7.6091,1.3,0.7364,3.0273,0.6379,0.5584,0.8244,32.1364,804,11,2015-16,2025-26,2010s+,0.565,1.129,99,22.69,3.889,1.753,5.64,12.836,7.242,40.146,33.662,6.2,-1.042,11.0,0.7295632537257091,13,1.3519037601630715,2
Stephen Curry,24.4941,4.6529,6.2118,1.4235,0.2882,3.0706,0.6209,0.4682,0.9124,33.3059,1065,17,2009-10,2025-26,2010s+,0.565,1.0989,99,24.74,4.518,0.111,4.629,9.776,6.924,38.926,35.127,8.76,1.163,16.0,0.7797875345007589,9,1.1036768497056575,3
Kevin Durant,27.195,6.86,4.455,0.96,1.155,3.145,0.6318,0.5127,0.8803,36.255,1240,20,2007-08,2025-26,2010s+,0.565,1.1182,99,27.47,4.415,-0.212,4.205,6.009,6.908,37.496,36.717,9.27,1.262,18.0,1.0760478211291231,4,0.9242271764133329,4
Joel Embiid,27.12,10.32,3.73,0.87,1.58,3.37,0.6088,0.4941,0.8313,31.34,487,10,2016-17,2025-26,2010s+,0.565,1.0775,99,27.39,2.389,2.191,4.58,9.922,3.487,36.241,42.055,3.41,-0.077,10.0,0.9092559893782944,5,0.8371106555872472,5
Tim Duncan,18.8895,10.7684,3.0105,0.7474,2.1579,2.4105,0.5492,0.5044,0.7012,33.8789,1392,19,1997-98,2015-16,2000s,0.535,1.0265,93,20.31,2.308,4.909,7.216,8.185,1.24,25.125,29.177,-1.111,-1.18,16.0,-0.04809225307589275,51,0.8363492566607429,6
Kawhi Leonard,20.5571,6.25,3.0857,1.7429,0.6429,1.7143,0.601,0.4974,0.8473,31.3143,791,14,2011-12,2025-26,2010s+,0.565,1.0637,99,20.76,3.632,1.558,5.187,7.779,4.572,28.63,32.289,5.775,1.265,13.0,0.1195558274019105,42,0.7491520420243089,7
John Stockton,13.0579,2.7,10.4368,2.1579,0.2263,2.8,0.6037,0.5125,0.8231,31.6684,1504,19,1984-85,2002-03,1980-90s,0.535,1.1284,95,13.75,3.2,1.887,5.083,10.784,6.155,29.114,21.383,2.5620000000000003,1.185,3.0,-0.1408298334693287,58,0.7334165538161939,8
Giannis Antetokounmpo,24.6846,10.1,5.1,1.1077,1.1846,3.0692,0.6072,0.5464,0.6935,32.5462,895,13,2013-14,2025-26,2010s+,0.565,1.0747,99,24.93,2.806,1.87,4.675,8.304,4.594,37.607,36.456,3.459,-1.135,13.0,0.6877098183724464,17,0.73196837055413,9
James Harden,23.7652,5.8696,8.013,1.3696,0.5652,3.7522,0.6081,0.4389,0.8641,35.2043,1388,23,2009-10,2025-26,2010s+,0.565,1.0763,99,24.01,4.636,-0.308,4.329,4.724,5.126,41.438,33.564,7.538,2.729,17.0,0.6954898701168114,16,0.7054852495300078,10
Dirk Nowitzki,20.1095,7.3476,2.3381,0.7857,0.819,1.6048,0.5679,0.463,0.8707,33.0048,1522,21,1998-99,2018-19,2000s,0.535,1.0615,93,21.62,3.575,0.771,4.346,8.764,3.093,26.39,31.737,0.356,0.727,19.0,0.17827418437667936,39,0.6797594791115447,11
Luka Doncic,29.06,8.45,8.11,1.41,0.43,3.88,0.5889,0.4637,0.7589,35.14,562,10,2018-19,2025-26,2010s+,0.565,1.0423,99,29.35,4.451,-0.674,3.779,3.959,1.827,49.188,40.743,4.671,2.844,8.0,1.1606940874429919,2,0.653193984648722,12
Damian Lillard,25.3615,4.2846,6.8231,0.9692,0.3077,2.8385,0.5894,0.4372,0.8956,36.2462,900,13,2012-13,2024-25,2010s+,0.565,1.0432,99,25.62,4.508,-1.458,3.05,7.367,2.783,41.503,34.333,5.803,2.85,13.0,0.7068764313545488,15,0.6136662093349576,13
Chris Paul,16.2905,4.2952,8.9333,1.9381,0.1667,2.2143,0.5711,0.4596,0.8542,32.7143,1370,21,2005-06,2025-26,2010s+,0.565,1.0108,99,16.46,3.818,1.287,5.104,8.381,2.191,38.293,25.576,4.689,3.032,20.0,-0.303934938019878,67,0.551156767269529,14
Steve Nash,13.5167,2.9111,8.1611,0.7222,0.0944,2.7722,0.5894,0.4773,0.896,30.6056,1217,18,1996-97,2013-14,2000s,0.535,1.1017,93,14.53,4.588,-0.871,3.722,7.887,7.143,37.57,23.774,2.5620000000000003,1.185,13.0,-0.23361297105586082,64,0.5110917498630811,15
Kevin Garnett,16.1652,9.3435,3.3739,1.2304,1.2652,1.9565,0.5388,0.4966,0.7747,32.213,1509,23,1995-96,2015-16,2000s,0.535,1.0071,93,17.38,1.856,3.594,5.452,10.782,0.791,24.482,26.143,-6.278,-0.626,16.0,-0.41701858317138213,74,0.4852815878698743,16
