player,PPG,TS_pct,APG,RPG,TOV,FTR,MPG,GP,FGA,seasons,peak_PPG,PtsCreated,PtsCreated100,o_dpm,dpm,onoff,predicted_PtsC,rank
Oscar Robertson,25.5286,0.5602,9.45,7.4214,2.6348,0.4537,42.0714,1040,18.7714,14,30.9,,,,,,46.67365791180207,1
Luka Doncic,29.06,0.5889,8.11,8.45,3.88,0.3975,35.14,562,20.94,10,31.44,49.188,68.493,4.451,3.779,3.959,46.40935491195279,2
Magic Johnson,19.3846,0.609,10.9231,7.2,3.8692,0.4955,36.4077,906,13.1077,13,21.98,,,,,,44.05965983172293,3
LeBron James,26.7391,0.5917,7.4,7.4739,3.4826,0.3761,37.4087,1615,19.413,23,30.06,44.085,60.051,5.286,6.19,9.67,43.04077900495796,4
James Harden,23.7652,0.6081,8.013,5.8696,3.7522,0.5007,35.2043,1388,15.9826,23,31.78,41.438,57.762,4.636,4.329,4.724,42.24208835734034,5
Nikola Jokic,22.4636,0.6379,7.6091,11.1182,3.0273,0.3273,32.1364,804,15.2545,11,27.48,40.146,59.913,3.889,5.64,12.836,41.45868293635521,6
Damian Lillard,25.3615,0.5894,6.8231,4.2846,2.8385,0.3539,36.2462,900,18.5308,13,28.98,41.503,56.201,4.508,3.05,7.367,40.73458345080589,7
Jerry West,26.7429,0.5478,6.6929,5.6571,2.6348,0.4567,38.8857,932,20.2357,14,30.6,,,,,,40.35661970161064,8
Michael Jordan,29.4533,0.5592,5.14,6.12,2.6867,0.3541,37.5733,1072,22.7,15,34.16,31.276,47.519,3.09,2.385,2.975,40.27470899763655,9
Wilt Chamberlain,30.6375,0.556,4.2688,22.7062,2.6348,0.5522,45.55,1118,23.2062,16,42.02,,,,,,39.91982388184629,10
Stephen Curry,24.4941,0.6209,6.2118,4.6529,3.0706,0.2453,33.3059,1065,17.7059,17,29.2,38.926,55.375,4.518,4.629,9.776,39.909501318931646,11
Ja Morant,22.6143,0.5542,7.5714,4.6429,3.3714,0.3685,31.8286,327,17.5,7,24.28,39.925,60.364,2.127,1.11,1.344,38.168956273340726,12
Shai Gilgeous-Alexander,25.45,0.6087,5.3875,4.7625,2.3625,0.4067,33.3375,524,17.45,8,30.02,38.908,55.212,2.786,2.729,4.552,37.78403226812314,13
Isiah Thomas,19.0077,0.5137,9.1846,3.5077,3.7615,0.3355,36.0769,979,16.0923,13,21.38,,,,,,37.71570754288096,14
John Stockton,13.0579,0.6036,10.4368,2.7,2.8,0.431,31.6684,1504,9.0632,19,16.48,29.114,52.369,3.2,5.083,10.784,37.69037438963452,15
Larry Bird,23.7615,0.559,6.2769,9.6846,3.0154,0.249,37.8692,897,19.0615,13,27.36,,,,,,37.609840969677855,16
Kyrie Irving,24.3562,0.5882,5.6188,4.2875,2.4375,0.2346,34.8625,839,18.7375,16,27.2,37.211,53.545,3.726,2.784,3.799,37.52932743008116,17
Chris Paul,16.2905,0.5711,8.9333,4.2952,2.2143,0.297,32.7143,1370,12.3714,21,20.46,38.293,57.904,3.818,5.104,8.381,37.295075847316895,18
Kevin Durant,27.195,0.6318,4.455,6.86,3.145,0.3847,36.255,1240,18.415,20,30.16,37.496,50.81,4.415,4.205,6.009,37.106449831057105,19
Russell Westbrook,20.425,0.5247,7.87,6.795,3.835,0.3416,32.61,1374,16.82,20,27.18,38.959,56.831,2.782,2.567,2.446,37.06055200298555,20
Allen Iverson,24.16,0.5232,5.895,3.375,3.415,0.4314,39.325,1064,19.54,20,31.48,39.849,49.727,2.876,1.965,3.364,35.812245070557516,21
Devin Booker,24.7636,0.5797,5.3273,4.0636,3.0545,0.3366,34.3455,731,18.5364,11,26.98,37.794,52.814,2.784,1.283,2.843,35.80432293959248,22
Donovan Mitchell,25.2667,0.5753,4.8889,4.3556,2.7,0.2635,33.8444,604,19.6444,9,27.02,37.256,53.764,3.786,3.537,2.943,35.70208593668989,23
Giannis Antetokounmpo,24.6846,0.6072,5.1,10.1,3.0692,0.5218,32.5462,895,16.2385,13,30.26,37.607,55.577,2.806,4.675,8.304,35.39002562699686,24
Nate Archibald,18.2308,0.5391,7.2615,2.3,2.6667,0.4637,35.0385,876,14.0538,13,26.8,,,,,,34.13336009685468,25
Kobe Bryant,24.2,0.5429,4.76,5.2,3.13,0.3779,35.775,1346,19.04,20,30.76,38.565,52.117,4.56,2.942,4.978,33.68279931459276,26
Joel Embiid,27.12,0.6088,3.73,10.32,3.37,0.5433,31.34,487,17.89,10,30.88,36.241,56.156,2.389,4.58,9.922,33.67346395994292,27
Rick Barry,23.07,0.5088,5.05,6.49,2.4333,0.2529,36.2,794,20.27,10,28.02,,,,,,33.36296463497523,28
Steve Nash,13.5167,0.5894,8.1611,2.9111,2.7722,0.2555,30.6056,1217,10.1444,18,17.98,37.57,55.943,4.588,3.722,7.887,33.073016117082744,29
Kareem Abdul-Jabbar,24.59,0.5917,3.625,11.17,2.725,0.3252,36.79,1560,18.16,20,31.1,,,,,,32.94718705251205,30
Anthony Edwards,24.7,0.5729,4.0667,5.25,2.8667,0.2863,34.8833,439,19.0333,6,25.78,34.914,48.371,3.332,3.123,1.802,32.56512870317573,31
Elgin Baylor,25.2786,0.4909,3.9429,12.5929,2.6348,0.3559,38.4214,846,22.1,14,32.76,,,,,,32.31594945222917,32
Clyde Drexler,20.5353,0.5475,5.5529,6.2,2.6941,0.3398,34.8706,1162,16.2412,17,24.9,,,,,,32.049125665734124,33
