Rank,player,era,P100,TS_plus,AST_pct,PER,WS_per48,Score
1,Michael Jordan,1990s,36.30434782608695,1.087360594795539,24.2,31.2,0.292,1.1088327411165813
2,LeBron James,2010s,29.278350515463913,1.1164510166358594,36.2,31.0,0.27,0.414422882711627
3,Shaquille O'Neal,2000s,30.219780219780223,1.1190019193857965,16.2,29.3,0.27,0.20708662709243492
4,Kevin Durant,2010s,29.072164948453604,1.1527272727272726,21.8,26.8,0.255,0.03316549662479193
5,James Harden,2010s,31.340206185567006,1.0928571428571427,42.0,27.5,0.218,0.028664445192909643
6,Wilt Chamberlain,1960s,29.047619047619047,1.1395833333333334,12.5,28.5,0.25,-0.005518895891899828
7,Kareem Abdul-Jabbar,1970s,28.037383177570092,1.16,15.0,27.0,0.248,-0.12566078430030297
8,Stephen Curry,2010s,28.350515463917525,1.1428571428571428,31.5,24.6,0.228,-0.3474004880718538
9,Kobe Bryant,2000s,33.18681318681319,1.0528301886792453,25.0,25.2,0.198,-0.44695244532622014
10,Luka Doncic,2020s,29.8,1.0350877192982457,45.0,25.5,0.175,-0.8666395791480881
