player_en,GP,PPG,RPG,APG,PER,WS48,USG,OWS,DWS,WS,TS_pct,era,pace,P100,TS_plus,PO_PER,PO_boost,db_O_DPM,db_OnOff,db_PtsCreated,PC1,PC2,PC3,PCA_score,PCA_rank,Ridge_score,Ridge_rank,tier
Michael Jordan,1072,30.1,6.2,5.3,27.9,0.25,33.3,149.9,64.1,214.0,0.5592,1990s,92,32.72,1.0452,28.6,0.0251,3.09,2.975,31.2765,4.194554251070275,0.47547728695071256,0.8484862220053003,2.064213117142379,1,27.424820664094995,1,1
LeBron James,1258,27.1,7.4,7.4,27.5,0.235,31.5,165.7,70.4,236.1,0.5917,2010s,97,27.94,1.0661,28.3,0.0291,7.214,15.849799999999998,44.631,1.9798708785236325,-0.6104219328052997,0.5837303398865014,0.7954816293941455,2,25.76723911979895,3,1
Shaquille O'Neal,1207,23.7,10.9,2.5,26.4,0.208,29.5,115.4,66.4,181.7,0.5883,2000s,91,26.04,1.11,26.1,-0.0114,4.050000000000001,11.8342,32.592200000000005,-1.533689131321103,0.20745722782400472,2.0809466366451894,-0.27418232744485077,5,25.14443753133979,4,2
Wilt Chamberlain,1045,30.1,22.9,4.4,26.1,0.248,31.1,153.3,93.9,247.3,0.556,1960s,126,23.89,1.1347,22.7,-0.1303,5.935999999999999,10.217400000000001,41.345600000000005,0.22672661661669474,2.944605780408568,-1.5885868008062776,0.5767080603534929,3,24.70818088391214,7,2
Kevin Durant,849,27.0,7.1,4.1,25.2,0.217,30.1,101.0,,141.7,0.6318,2010s,97,27.84,1.1384,24.4,-0.0317,6.247999999999999,9.106200000000001,38.971,-0.6155615378056948,0.7526464645130941,1.060688292473549,0.09337421056591741,4,26.556028686413935,2,2
James Harden,826,25.1,5.3,6.3,24.7,0.226,30.7,100.7,,133.3,0.6081,2010s,97,25.88,1.0957,22.3,-0.0972,6.274,5.9458,50.483000000000004,-0.7121729898993123,0.04106289968471299,-0.9216200115072608,-0.44539579241612537,7,24.823023577459335,6,2
Kareem Abdul-Jabbar,1560,24.6,11.2,3.6,24.6,0.228,31.1,178.9,94.5,273.4,0.5917,1970s,107,22.99,1.1602,23.0,-0.065,5.935999999999999,10.217400000000001,41.345600000000005,-1.682370114765644,1.0851347177538258,-0.4601944589624607,-0.5287933005175087,8,25.142725377608905,5,2
Stephen Curry,699,23.5,4.5,6.6,23.8,0.207,27.9,76.5,,,0.6209,2010s,97,24.23,1.1187,23.0,-0.0336,6.083999999999999,17.816799999999997,41.5082,-2.5678796015931287,-1.0268096928923907,0.43685400305764094,-1.2932068664125864,10,24.413440480350353,8,2
Luka Doncic,126,24.4,8.5,7.1,23.1,0.227,33.3,,,,0.5889,2020s,100,24.4,1.0295,,0.0,4.92,6.4104,51.9054,0.4474156114110764,-2.3649786120343665,-1.5304607847741103,-0.6440378845457073,9,23.814964850355572,10,3
Kobe Bryant,1346,25.0,5.2,4.7,22.9,0.227,31.8,122.1,50.7,172.7,0.543,2000s,91,27.47,1.0245,22.4,-0.0218,5.787999999999999,11.3286,41.18300000000001,0.2631060177632024,-1.5041741394028614,-0.5098434380180706,-0.3441608461191566,6,24.405138828666047,9,3
