player,nba_id,season,GP,MIN,PPG,APG,RPG,FGM,FGA,FTM,FTA,TS_pct
Kareem Abdul-Jabbar,76003,1969-70,10,43.5,35.2,4.1,16.8,13.9,24.5,7.4,10.1,0.6080707573244888
Kareem Abdul-Jabbar,76003,1970-71,14,41.2,26.6,2.5,17.0,10.9,21.1,4.9,7.2,0.5480468106148014
Kareem Abdul-Jabbar,76003,1971-72,11,46.4,28.7,5.1,18.2,12.6,28.9,3.5,4.9,0.4620685213807316
Kareem Abdul-Jabbar,76003,1972-73,6,46.0,22.8,2.8,16.2,9.8,23.0,3.2,5.8,0.4461490294301816
Kareem Abdul-Jabbar,76003,1973-74,16,47.4,32.2,4.9,15.8,14.0,25.1,4.2,5.7,0.5831643002028398
Kareem Abdul-Jabbar,76003,1976-77,11,42.5,34.6,4.1,17.7,13.4,22.0,7.9,10.9,0.645618749067025
Kareem Abdul-Jabbar,76003,1977-78,3,44.7,27.0,3.7,13.7,12.7,24.3,1.7,3.0,0.5269320843091335
Kareem Abdul-Jabbar,76003,1978-79,8,45.9,28.5,4.8,12.6,11.0,19.0,6.5,7.8,0.635253209700428
Kareem Abdul-Jabbar,76003,1979-80,15,41.2,31.9,3.1,12.1,13.2,23.1,5.5,7.0,0.6092436974789915
Kareem Abdul-Jabbar,76003,1980-81,3,44.7,26.7,4.0,16.7,10.0,21.7,6.7,9.3,0.5176023573200992
Kareem Abdul-Jabbar,76003,1981-82,14,35.2,20.4,3.6,8.5,8.2,15.8,3.9,6.2,0.5505181347150258
Kareem Abdul-Jabbar,76003,1982-83,15,39.2,27.1,2.8,7.7,10.9,19.1,5.3,7.1,0.6097012239020878
Kareem Abdul-Jabbar,76003,1983-84,21,36.5,23.9,3.8,8.2,9.8,17.7,4.3,5.7,0.5913499604117182
Kareem Abdul-Jabbar,76003,1984-85,19,32.1,21.9,4.0,8.1,8.8,15.8,4.2,5.4,0.6024427816901408
Kareem Abdul-Jabbar,76003,1985-86,14,34.9,25.9,3.5,5.9,11.2,20.1,3.4,4.4,0.587674714104193
Kareem Abdul-Jabbar,76003,1986-87,18,31.1,19.2,2.0,6.8,6.9,13.0,5.4,6.8,0.6003001500750375
Kareem Abdul-Jabbar,76003,1987-88,24,29.9,14.1,1.5,5.5,5.9,12.7,2.3,3.0,0.5028530670470757
Kareem Abdul-Jabbar,76003,1988-89,15,23.4,11.1,1.3,3.9,4.5,9.8,2.1,2.9,0.5010834236186349
Ray Allen,951,1998-99,3,40.0,22.3,4.3,7.3,8.3,15.7,2.7,4.3,0.6338108231014098
Ray Allen,951,1999-00,5,37.2,22.0,2.6,6.6,8.0,18.0,4.0,4.4,0.5517656500802568
Ray Allen,951,2000-01,18,42.7,25.1,6.0,4.1,8.8,18.4,4.4,4.8,0.6118369734789392
Ray Allen,951,2004-05,11,39.6,26.5,3.9,4.3,9.3,19.5,5.1,5.7,0.6020537986186841
Ray Allen,951,2007-08,26,38.0,15.6,2.7,3.8,5.1,12.0,3.2,3.5,0.5760709010339734
Ray Allen,951,2008-09,14,40.4,18.3,2.6,3.9,5.9,14.7,3.9,4.1,0.5544110518662143
Ray Allen,951,2009-10,24,38.5,16.1,2.6,3.3,5.5,12.7,2.9,3.3,0.5688241944601471
Ray Allen,951,2010-11,9,40.1,18.9,2.4,3.8,6.3,12.1,2.7,2.8,0.7088208820882088
Ray Allen,951,2011-12,18,34.2,10.7,1.0,4.1,3.7,9.3,1.8,2.5,0.5144230769230769
Ray Allen,951,2012-13,23,24.9,10.2,1.3,2.8,3.2,7.5,2.0,2.3,0.5991541353383458
Ray Allen,951,2013-14,20,26.4,9.3,1.6,3.4,3.0,7.2,1.7,1.9,0.5786460925833748
Giannis Antetokounmpo,203507,2014-15,6,33.5,11.5,2.7,7.0,4.3,11.8,2.8,3.8,0.4268111638954869
Giannis Antetokounmpo,203507,2016-17,6,40.5,24.8,4.0,9.5,10.0,18.7,4.2,7.7,0.5613908004346251
Giannis Antetokounmpo,203507,2017-18,7,40.0,25.7,6.3,9.6,9.9,17.3,5.4,7.9,0.6185021178282634
Giannis Antetokounmpo,203507,2018-19,15,34.3,25.5,4.9,12.2,8.6,17.4,7.1,11.2,0.5710318882121104
Giannis Antetokounmpo,203507,2019-20,9,30.8,26.7,5.7,13.8,10.0,17.9,5.2,9.0,0.610704483074108
Giannis Antetokounmpo,203507,2020-21,21,38.1,30.2,5.1,12.8,11.9,20.9,5.8,9.8,0.5989211486593685
Giannis Antetokounmpo,203507,2021-22,12,37.3,31.7,6.8,14.2,11.7,23.8,7.6,11.2,0.5517265385686438
Giannis Antetokounmpo,203507,2022-23,3,30.3,23.3,5.3,11.0,9.3,17.7,4.7,10.3,0.5240194314501619
Giannis Antetokounmpo,203507,2024-25,5,37.6,33.0,6.6,15.4,12.0,19.8,8.8,12.6,0.6510416666666666
Carmelo Anthony,2546,2003-04,4,35.8,15.0,2.8,8.3,5.3,16.0,4.0,5.0,0.4120879120879121
