player,season,OREB,DREB,REB,GP,MIN
Kareem Abdul-Jabbar,1969-70,,,14.5,82,43.1
Kareem Abdul-Jabbar,1970-71,,,16.0,82,40.1
Kareem Abdul-Jabbar,1971-72,,,16.6,81,44.2
Kareem Abdul-Jabbar,1972-73,,,16.1,76,42.8
Kareem Abdul-Jabbar,1973-74,3.5,11.0,14.5,81,43.8
Kareem Abdul-Jabbar,1974-75,3.0,11.0,14.0,65,42.3
Kareem Abdul-Jabbar,1975-76,3.3,13.5,16.9,82,41.2
Kareem Abdul-Jabbar,1976-77,3.2,10.0,13.3,82,36.8
Kareem Abdul-Jabbar,1977-78,3.0,9.9,12.9,62,36.5
Kareem Abdul-Jabbar,1978-79,2.6,10.2,12.8,80,39.5
Kareem Abdul-Jabbar,1979-80,2.3,8.5,10.8,82,38.3
Kareem Abdul-Jabbar,1980-81,2.5,7.8,10.3,80,37.2
Kareem Abdul-Jabbar,1981-82,2.3,6.4,8.7,76,35.2
Kareem Abdul-Jabbar,1982-83,2.1,5.4,7.5,79,32.3
Kareem Abdul-Jabbar,1983-84,2.1,5.2,7.3,80,32.8
Kareem Abdul-Jabbar,1984-85,2.1,5.8,7.9,79,33.3
Kareem Abdul-Jabbar,1985-86,1.7,4.4,6.1,79,33.3
Kareem Abdul-Jabbar,1986-87,1.9,4.8,6.7,78,31.3
Kareem Abdul-Jabbar,1987-88,1.5,4.5,6.0,80,28.9
Kareem Abdul-Jabbar,1988-89,1.4,3.1,4.5,74,22.9
Ray Allen,1996-97,1.2,2.8,4.0,82,31.0
Ray Allen,1997-98,1.5,3.4,4.9,82,40.1
Ray Allen,1998-99,1.1,3.1,4.2,50,34.4
Ray Allen,1999-00,1.0,3.4,4.4,82,37.4
Ray Allen,2000-01,1.2,4.0,5.2,82,38.2
Ray Allen,2001-02,1.2,3.3,4.5,69,36.6
Ray Allen,2002-03,1.0,3.7,4.6,47,35.8
Ray Allen,2002-03,1.7,3.9,5.6,29,41.3
Ray Allen,2002-03,1.2,3.8,5.0,76,37.9
Ray Allen,2003-04,1.2,3.9,5.1,56,38.4
Ray Allen,2004-05,1.0,3.4,4.4,78,39.3
Ray Allen,2005-06,0.9,3.3,4.3,78,38.7
Ray Allen,2006-07,1.0,3.5,4.5,55,40.3
Ray Allen,2007-08,1.0,2.6,3.7,73,35.9
Ray Allen,2008-09,0.8,2.7,3.5,79,36.4
