def_rank,player,reg_SPG,reg_BPG,reg_def,po_GP,total_defA_rank,total_defC_rank,def_impact_rank,def_impact_score,d_dpm
1,Hakeem Olajuwon,1.717,2.994,4.711,145,1,1,4,3.1177926081385197,2.735
2,David Robinson,1.371,2.829,4.2,123,2,2,7,2.5844440159500834,4.047
4,Kareem Abdul-Jabbar,0.995,2.185,3.18,237,3,5,8,2.4688727642983532,
4,Anthony Davis,1.262,2.212,3.475,60,5,3,3,3.5970161924351585,1.608
4,Patrick Ewing,0.947,2.394,3.341,139,4,4,18,1.8868059519034384,0.455
6,Tim Duncan,0.747,2.158,2.905,251,7,6,10,2.3679202263480743,4.909
7,Dwight Howard,0.867,1.678,2.544,125,8,7,11,2.314979555033016,1.699
7,Michael Jordan,2.293,0.833,3.127,179,6,9,44,0.9491034591655702,-0.705
9,Shaquille O'Neal,0.586,2.095,2.681,216,9,11,22,1.7883500818186011,2.82
9,Julius Erving,1.782,1.545,3.327,141,10,10,27,1.5442209632941215,
11,Bill Walton,0.75,2.23,2.98,49,13,8,19,1.8108360972344393,
12,Kevin Garnett,1.23,1.265,2.496,143,11,15,29,1.4803548105123903,3.594
13,Scottie Pippen,1.9,0.765,2.665,208,12,18,55,0.6431009977971515,0.78
14,Dwyane Wade,1.472,0.817,2.289,177,15,17,58,0.5863352357091447,0.039
14,Robert Parish,0.743,1.443,2.186,184,18,14,46,0.9309391335960152,
16,Draymond Green,1.314,0.979,2.293,169,21,13,35,1.1469883007130586,2.874
16,Kawhi Leonard,1.743,0.643,2.386,146,22,12,40,0.9978111797124153,1.558
18,John Stockton,2.158,0.226,2.384,182,17,20,87,-0.2345841482214608,1.887
18,Clyde Drexler,1.988,0.659,2.647,145,16,21,59,0.5848172451430536,
20,Joel Embiid,0.87,1.58,2.45,59,24,16,12,2.2759264968380655,2.191
21,Elvin Hayes,1.044,1.55,2.594,96,14,27,13,2.255404949771516,
22,LeBron James,1.465,0.722,2.187,292,19,24,42,0.9577301557786718,0.906
23,Magic Johnson,1.915,0.415,2.331,190,20,26,60,0.5529107781027898,
23,Giannis Antetokounmpo,1.108,1.185,2.292,84,27,19,20,1.7956064052581526,1.87
25,Chris Paul,1.938,0.167,2.105,149,28,22,71,0.11173234842984825,1.287
26,Jason Kidd,1.952,0.326,2.278,158,26,31,62,0.5004322131648886,2.038
27,Jimmy Butler,1.621,0.437,2.058,130,35,23,66,0.3927986741386773,1.097
28,Bob McAdoo,0.985,1.25,2.235,94,25,36,49,0.8768932467663387,
28,Charles Barkley,1.488,0.775,2.262,123,23,38,32,1.2829519257171373,
30,Tracy McGrady,1.059,0.776,1.835,50,37,25,72,0.10657597061234814,-0.232
31,Kevin Durant,0.96,1.155,2.115,170,34,33,38,1.0653851380029105,-0.212
32,Shai Gilgeous-Alexander,1.388,0.8,2.188,46,41,28,51,0.7531697501625338,-0.056
33,Kevin McHale,0.354,1.7,2.054,169,42,29,56,0.5991447671240664,
35,Pau Gasol,0.459,1.432,1.891,136,38,35,37,1.0727723566074805,0.231
35,Paul George,1.625,0.431,2.056,114,43,30,61,0.5457919801018148,1.663
35,Larry Bird,1.646,0.838,2.485,164,29,44,36,1.1455588474124483,
37,Paul Pierce,1.258,0.532,1.789,170,32,42,74,0.07856462699653077,0.618
38,Gary Payton,1.811,0.216,2.026,154,33,43,85,-0.20275724164043485,-0.726
38,James Harden,1.37,0.565,1.935,173,39,37,63,0.4741662812567298,-0.308
40,Karl Malone,1.411,0.763,2.174,193,31,46,43,0.9506473537243164,0.278
41,Yao Ming,0.362,1.85,2.212,28,46,34,30,1.3765263917255637,2.801
42,Moses Malone,0.71,1.21,1.919,94,40,41,39,1.0194106744158833,
42,Allen Iverson,1.855,0.155,2.01,71,30,51,84,-0.14911282662985292,-0.91
44,Kobe Bryant,1.41,0.46,1.87,220,36,47,73,0.08327654321974043,-1.618
45,Nikola Jokic,1.3,0.736,2.036,94,48,40,26,1.546724763965678,1.753
46,Isiah Thomas,1.885,0.246,2.131,111,44,48,88,-0.24467557847887855,
47,Russell Westbrook,1.51,0.35,1.86,135,49,45,67,0.39017112811302124,-0.218
48,Manu Ginobili,1.3,0.306,1.606,218,59,39,90,-0.4045609060809403,1.322
49,Bob Cousy,1.2,0.6,1.8,109,68,32,54,0.6893280877302745,
50,Rick Barry,1.75,0.51,2.26,74,45,57,47,0.9218310922079622,
