player,reg_PPG,reg_TS,reg_GP,reg_APG,reg_FTM,reg_MPG,reg_A_career,reg_A_peak,reg_C_career,reg_C_peak,po_PPG,po_TS,po_GP,po_APG,po_FTM,po_MPG,po_A_career,po_A_peak,po_C_career,po_C_peak,po_weighted_gp,total_weighted_gp,po_weight,reg_weight,reg_A,po_A,total_A,total_A_rank,reg_C,po_C,total_C,total_C_rank,scoring_median,scoring_rank,FTR,peak_PPG,TOV,o_dpm,impact_score,impact_rank,FT_pct_scoring,era_group,reg_PPG_z,reg_TS_z,po_PPG_z,po_GP_z,FT_pct_scoring_z
James Harden,23.765,0.608,1388,8.013,6.943,35.204,22.982,30.571,0.6579,0.8583,22.575,0.586,173,6.65,6.388,36.681,21.152,27.255,0.5782,0.7444,519,1907,0.27215521761929734,0.7278447823807026,27.535400000000003,24.8138,26.79470235972732,18,0.77814,0.6779200000000001,0.750864604090194,11,14.5,11,0.4344396082698585,31.78,0,4.636,5.054763429531805,1,29.2,Modern (2001+),0.8043036369351756,1.4114999133103028,0.40966898570744126,0.9596935087924873,1.519718456664808
Magic Johnson,19.385,0.609,906,10.923,5.431,36.408,20.221,23.067,0.511,0.5704,19.254,0.584,190,11.6,5.708,39.554,19.268,23.028,0.4495,0.5272,570,1476,0.3861788617886179,0.6138211382113821,21.9286,21.524,21.772352032520324,54,0.54664,0.49612,0.527130243902439,60,57.0,56,0.41431924882629106,21.98,0,,4.875265231471182,2,28.0,Historical (pre-2001),-0.17056044651930388,1.4358652339810156,-0.2879756763136062,1.260276098102356,1.2592689700305113
Nikola Jokic,22.464,0.638,804,7.609,4.155,32.136,23.277,29.106,0.7316,0.8649,27.886,0.612,94,7.3,4.986,37.829,27.549,28.904,0.7565,0.8085,282,1086,0.2596685082872928,0.7403314917127072,26.7744,28.362,27.186649723756908,15,0.81158,0.7877,0.8053791160220993,6,10.5,8,0.2723480333730632,27.48,0,3.889,4.784706911256384,3,18.5,Modern (2001+),0.5147378441099976,2.142459533431687,1.525354261224992,-0.43713146505925576,-0.8026227991576724
Luka Doncic,29.06,0.589,562,8.11,6.34,35.14,27.328,30.079,0.7987,0.8694,31.5,0.582,55,7.86,6.26,39.04,29.311,29.311,0.7772,0.7772,165,727,0.22696011004126548,0.7730398899587345,28.9786,29.311,29.054041540577717,6,0.84112,0.7772,0.8266127097661623,5,5.5,4,0.3027698185291308,31.44,0,4.451,4.766229635086178,4,21.8,Modern (2001+),1.9828208337140496,0.9485588205667597,2.2845496266402487,-1.1267032875936605,-0.08638671091335579
Oscar Robertson,25.529,0.56,1040,9.45,7.35,42.071,23.078,27.96,0.4135,0.492,24.11,0.547,86,9.27,7.37,43.77,21.165,26.066,0.3618,0.4207,258,1298,0.1987673343605547,0.8012326656394453,26.007199999999997,24.105599999999995,25.629224036979963,25,0.46059999999999995,0.39714,0.4479862249614791,72,48.5,49,0.3915525114155251,30.9,0,,4.760045693322521,5,28.8,Historical (pre-2001),1.1969201308195823,0.24196452111609118,0.7321274488818793,-0.5785820953227234,1.4329019611200426
LeBron James,26.739,0.592,1615,7.4,5.383,37.409,26.809,30.716,0.717,0.7998,28.2,0.588,292,7.211,6.256,41.211,27.863,33.411,0.68,0.8379,876,2491,0.35166599759132877,0.6483340024086712,29.153200000000002,31.1918,29.870106302689685,4,0.76668,0.77474,0.7695144279405861,9,6.5,5,0.2772676371780515,30.06,0,5.286,4.354581835144011,6,20.1,Modern (2001+),1.4662318981665963,1.021654782578898,1.591316448480219,3.0637716339615686,-0.4553568169786096
Stephen Curry,24.494,0.621,1065,6.212,4.029,33.306,25.485,30.976,0.7772,0.9538,26.21,0.606,155,6.3,4.46,37.57,26.38,28.775,0.7179,0.7911,465,1530,0.30392156862745096,0.696078431372549,28.779600000000002,27.816999999999997,28.487045098039214,7,0.8831600000000001,0.7618199999999999,0.846282156862745,3,5.0,3,0.22757475083056478,29.2,0,4.518,4.224481725539657,7,16.4,Modern (2001+),0.9665584124690375,1.7282490820295693,1.1732758349837167,0.641429590699685,-1.2584094007676923
Wilt Chamberlain,30.638,0.556,1118,4.269,5.8,45.55,27.204,35.334,0.442,0.5402,24.769,0.522,160,3.977,5.077,47.338,21.001,27.816,0.3335,0.4198,480,1598,0.30037546933667086,0.6996245306633291,32.082,25.09,29.981774718397997,3,0.50092,0.38528,0.4661845807259074,70,36.5,36,0.24993266900080796,42.02,0,,4.203555133088079,8,18.9,Historical (pre-2001),2.3340389898079246,0.14450323843324,0.8705640138538365,0.7298362346143523,-0.7158063036129071
Damian Lillard,25.362,0.589,900,6.823,5.954,36.246,24.211,28.192,0.6826,0.7979,24.11,0.545,68,5.63,5.97,38.23,21.978,27.716,0.5724,0.732,204,1104,0.18478260869565216,0.8152173913043479,26.5996,25.4208,26.381778260869567,20,0.75178,0.66816,0.7363284782608697,13,16.5,17,0.32129514321295144,28.98,0,4.508,3.943722708721865,9,23.5,Modern (2001+),1.1597506554915231,0.9485588205667597,0.7321274488818793,-0.8968460134155256,0.282583395151898
John Stockton,13.058,0.604,1504,10.437,3.184,31.668,14.346,18.107,0.4068,0.4519,13.574,0.572,182,10.063,3.395,35.026,13.987,21.376,0.3603,0.4694,546,2050,0.26634146341463416,0.7336585365853658,16.6026,18.4204,17.086755512195122,86,0.43386,0.42576,0.43170263414634147,74,80.0,84,0.351335656213705,16.48,0,3.2,3.875685857103081,10,24.4,Modern (2001+),-1.57877164652307,1.3140386306274516,-1.4811770253890513,1.1188254678388883,0.4779205101276203
