play_rank,player,reg_APG,reg_TOV,reg_ast_tov,po_APG,po_GP,total_playA_rank,total_playC_rank
1,John Stockton,10.437,2.8,3.692,10.063,182,1,1
2,Magic Johnson,10.923,3.869,2.816,11.6,190,2,2
3,Chris Paul,8.933,2.214,4.064,8.307,149,3,3
4,Steve Nash,8.161,2.772,2.879,7.567,120,5,4
5,Jason Kidd,8.826,2.865,3.151,8.182,158,6,5
6,Isiah Thomas,9.185,3.762,2.448,9.333,111,7,6
7,Oscar Robertson,9.45,2.5,3.78,9.27,86,4,10
8,James Harden,8.013,3.752,2.132,6.65,173,9,8
8,Russell Westbrook,7.87,3.835,2.05,7.243,135,10,7
10,Gary Payton,6.868,2.263,3.037,5.547,154,8,11
11,Nikola Jokic,7.609,3.027,2.464,7.3,94,13,9
12,Nate Archibald,7.262,2.577,2.825,6.46,47,11,13
13,LeBron James,7.4,3.483,2.127,7.211,292,15,12
14,Bob Cousy,7.114,2.5,2.846,8.162,109,12,16
15,Luka Doncic,8.11,3.88,2.093,7.86,55,17,15
15,Ja Morant,7.571,3.371,2.257,7.5,22,18,14
17,Lenny Wilkens,6.613,2.5,2.645,5.843,64,14,19
18,Draymond Green,5.771,2.386,2.318,5.57,169,19,17
19,Jerry West,6.693,2.5,2.677,5.215,153,16,23
20,Damian Lillard,6.823,2.838,2.409,5.63,68,21,20
20,Tony Parker,5.589,2.256,2.529,4.924,226,23,18
22,Larry Bird,6.277,3.015,2.111,6.475,164,20,24
23,Stephen Curry,6.212,3.071,2.02,6.3,155,25,21
24,Walt Frazier,5.562,2.331,2.351,6.425,93,22,28
24,Jimmy Butler,4.474,1.558,2.796,4.192,130,28,22
26,Clyde Drexler,5.553,2.694,2.044,5.767,145,26,25
27,Dave Bing,6.008,2.517,2.394,5.02,31,24,30
28,Kyrie Irving,5.619,2.438,2.344,4.943,96,31,26
29,Michael Jordan,5.14,2.687,1.924,5.877,179,27,31
30,Shai Gilgeous-Alexander,5.388,2.362,2.293,5.05,46,32,27
31,Allen Iverson,5.895,3.415,1.742,5.925,71,29,33
32,Tracy McGrady,4.1,1.971,2.221,4.944,50,35,29
33,Dwyane Wade,5.156,3.05,1.687,5.046,177,34,34
34,Scottie Pippen,5.106,2.7,1.88,4.769,208,33,36
34,Devin Booker,5.327,3.055,1.765,5.525,47,37,32
36,John Havlicek,4.8,2.5,1.92,4.623,172,30,41
37,Rick Barry,5.05,2.48,2.032,4.343,74,36,38
38,Giannis Antetokounmpo,5.1,3.069,1.638,5.267,84,40,37
39,Manu Ginobili,3.781,1.988,1.894,3.787,218,45,35
40,Kevin Garnett,3.374,1.957,2.018,3.9,143,41,40
40,Pete Maravich,4.783,2.708,1.781,4.225,26,39,42
42,Donovan Mitchell,4.889,2.7,1.823,4.913,63,43,39
43,Kobe Bryant,4.76,3.13,1.524,4.453,220,42,45
43,Kevin Durant,4.455,3.145,1.428,4.254,170,44,43
45,Wilt Chamberlain,4.269,2.5,1.708,3.977,160,38,51
46,Jayson Tatum,3.856,2.367,1.589,4.675,121,46,46
47,Vince Carter,2.988,1.646,1.841,3.291,88,48,47
48,Alex English,3.512,2.559,1.396,4.28,68,49,50
49,Paul George,3.644,2.6,1.398,4.018,114,53,49
50,Billy Cunningham,4.122,2.5,1.649,3.35,39,50,53
50,Charles Barkley,3.962,3.069,1.337,3.838,123,51,52
52,Kawhi Leonard,3.086,1.714,1.772,3.317,146,56,48
53,Wes Unseld,3.854,2.315,1.689,3.667,119,52,54
54,Pau Gasol,2.995,1.932,1.723,3.317,136,63,44
55,Bill Russell,4.162,2.5,1.665,4.554,165,47,64
56,Ray Allen,3.51,2.15,1.631,2.818,171,55,58
57,Paul Pierce,3.358,2.537,1.298,3.164,170,58,56
58,Anthony Edwards,4.067,2.867,1.414,5.05,42,62,55
58,Earl Monroe,3.613,2.293,1.643,3.138,82,60,57
60,Hal Greer,3.973,2.5,1.589,3.962,92,54,65
61,Julius Erving,3.845,3.0,1.29,4.236,141,64,60
62,Reggie Miller,2.944,1.717,1.803,2.5,144,66,59
62,Kareem Abdul-Jabbar,3.625,2.635,1.367,3.422,237,59,66
64,Karl Malone,3.584,3.058,1.209,2.947,193,65,61
65,Dave Cowens,3.782,2.327,1.65,3.643,89,61,67
65,Elgin Baylor,3.943,2.5,1.577,3.783,134,57,71
67,James Worthy,3.067,2.017,1.554,3.144,143,67,62
68,Joel Embiid,3.73,3.37,1.115,3.086,59,70,63
69,Tim Duncan,3.011,2.411,1.314,3.028,251,68,68
70,Bill Walton,3.25,2.61,1.222,2.5,49,69,70
71,Anthony Davis,2.788,2.044,1.354,2.733,60,72,69
72,Bill Sharman,2.864,2.5,1.145,3.15,78,71,72
73,Carmelo Anthony,2.662,2.362,1.134,2.354,83,75,73
73,Dirk Nowitzki,2.338,1.605,1.511,2.387,145,74,74
75,Jerry Lucas,3.131,2.5,1.252,2.762,72,73,76
76,Bernard King,3.136,3.029,1.037,2.1,28,76,75
77,Adrian Dantley,2.853,2.668,1.082,2.229,73,79,78
78,Shaquille O'Neal,2.348,2.719,0.862,2.453,216,81,79
78,Hakeem Olajuwon,2.406,2.894,0.826,2.593,145,80,80
80,Dolph Schayes,3.027,2.5,1.211,2.421,97,77,84
82,Klay Thompson,2.254,1.569,1.462,2.311,158,86,77
82,Nate Thurmond,2.544,2.5,1.018,2.8,81,78,85
82,David Robinson,2.371,2.35,0.997,2.4,123,82,81
84,George Gervin,2.81,2.98,0.947,2.878,59,84,82
84,Dominique Wilkins,2.435,2.406,0.999,2.19,56,83,83
86,Bob McAdoo,2.265,2.525,0.879,1.544,94,88,86
86,Dave DeBusschere,2.729,2.5,1.091,2.512,96,87,87
88,Bob Pettit,2.964,2.5,1.185,2.622,88,85,91
89,Sam Jones,2.508,2.5,1.003,2.242,154,90,89
89,Chris Bosh,2.046,2.031,1.008,1.733,89,91,88
91,George Mikan,2.757,2.5,1.103,2.1,70,89,92
92,Dennis Rodman,1.736,1.629,1.035,1.191,169,92,90
93,Kevin McHale,1.762,1.946,0.881,1.662,169,94,93
93,Paul Arizin,2.33,2.5,0.932,2.438,49,93,94
95,Patrick Ewing,1.794,2.953,0.6,1.9,139,95,95
96,Elvin Hayes,1.844,2.45,0.76,1.83,96,96,96
97,Willis Reed,1.82,2.5,0.728,1.829,78,97,98
97,Robert Parish,1.343,2.076,0.647,1.238,184,98,97
99,Yao Ming,1.55,2.612,0.593,1.1,28,99,99
100,Dwight Howard,1.289,2.578,0.512,1.217,125,100,101
100,Moses Malone,1.186,2.781,0.451,1.483,94,101,100
