reb_rank,player,RPG,OREB,DREB,oreb_rank,dreb_rank,po_GP,total_rebA_rank,total_rebC_rank
1,Dennis Rodman,13.371,4.679,8.686,5,10,169,3,1
2,Wilt Chamberlain,22.706,6.812,15.894,1,1,160,1,5
3,Dwight Howard,11.528,3.289,8.261,18,14,125,5,2
4,Bill Russell,22.377,6.713,15.664,2,2,165,2,10
5,Moses Malone,10.938,4.543,6.39,3,24,94,9,7
5,Tim Duncan,10.768,2.753,8.021,27,22,251,8,8
7,Nikola Jokic,11.127,2.691,8.455,36,18,94,18,3
8,Charles Barkley,11.7,3.931,7.75,10,28,123,10,12
8,Shaquille O'Neal,10.386,3.305,7.09,16,26,216,11,11
10,Wes Unseld,13.846,4.138,9.724,8,6,119,7,17
11,Giannis Antetokounmpo,10.1,1.946,8.154,47,15,84,21,4
11,Nate Thurmond,13.962,4.135,9.828,4,3,81,4,21
13,Kevin Garnett,9.343,1.974,7.383,33,12,143,14,13
14,Hakeem Olajuwon,10.839,3.144,7.694,12,20,145,16,14
14,Jerry Lucas,15.085,4.469,10.615,6,4,72,6,24
16,Anthony Davis,10.656,2.606,8.044,28,23,60,22,9
17,Joel Embiid,10.32,2.18,8.14,45,21,59,26,6
18,Kareem Abdul-Jabbar,11.17,2.873,8.287,13,9,237,12,22
18,George Mikan,12.92,3.876,9.044,19,25,70,19,15
20,Dave Cowens,13.209,3.365,9.835,14,11,89,15,23
21,David Robinson,10.436,3.114,7.314,20,32,123,20,20
22,Elvin Hayes,12.475,3.632,8.837,11,7,96,13,29
23,Pau Gasol,8.518,2.241,6.282,28,36,136,29,16
24,Bob Pettit,16.109,4.833,11.276,7,5,88,17,30
25,Robert Parish,8.976,2.8,6.167,22,38,184,30,18
26,Karl Malone,10.089,2.389,7.7,30,30,193,23,26
27,Bill Walton,10.0,2.24,7.74,41,15,49,32,19
28,Dolph Schayes,11.657,3.497,8.16,16,19,97,25,27
28,Patrick Ewing,9.729,2.312,7.429,37,27,139,27,25
31,Yao Ming,8.912,2.4,6.5,41,41,28,36,28
31,Willis Reed,12.09,3.655,8.435,15,17,78,28,36
31,Bob McAdoo,8.535,2.126,6.403,25,13,94,31,33
33,Elgin Baylor,12.593,3.778,8.815,9,8,134,24,42
33,Chris Bosh,8.438,2.085,6.354,39,44,89,34,32
35,Larry Bird,9.685,1.769,7.915,45,34,164,33,34
36,Russell Westbrook,6.795,1.55,5.26,59,31,135,38,31
37,Dirk Nowitzki,7.348,0.933,6.424,68,35,145,37,38
38,Luka Doncic,8.45,0.89,7.58,84,37,55,41,37
39,Dave DeBusschere,10.879,3.17,7.709,21,29,96,35,44
40,LeBron James,7.474,1.126,6.365,66,41,292,40,40
41,Draymond Green,6.814,1.05,5.764,71,46,169,46,35
42,Jayson Tatum,7.567,0.856,6.722,85,39,121,43,39
43,Kevin McHale,7.323,2.408,4.908,38,52,169,42,41
44,Billy Cunningham,9.911,2.768,7.143,24,33,39,39,46
