player,reg_PPG,reg_TS,reg_GP,reg_APG,reg_FTM,reg_MPG,reg_A_career,reg_A_peak,reg_C_career,reg_C_peak,po_PPG,po_TS,po_GP,po_APG,po_FTM,po_MPG,po_A_career,po_A_peak,po_C_career,po_C_peak,po_weighted_gp,total_weighted_gp,po_weight,reg_weight,reg_A,po_A,total_A,total_A_rank,reg_C,po_C,total_C,total_C_rank,scoring_median,scoring_rank,FTR,peak_PPG,TOV,o_dpm,PPG_era_z,APG_era_z,TS_pct_era_z,peak_PPG_z,impact_score,impact_rank,FT_pct_scoring,era_group,reg_PPG_z,reg_TS_z,po_PPG_z,po_GP_z,FT_pct_scoring_z
Michael Jordan,29.453,0.559,1072,5.14,6.713,37.573,34.503,42.918,0.8369,0.995,34.069,0.569,179,5.877,8.823,42.115,40.638,46.667,0.8817,0.9933,537,1609,0.33374766935985084,0.6662523306401491,39.552,44.255399999999995,41.121748788067116,1,0.9317599999999999,0.9486600000000001,0.9374003356121814,1,1.0,1,0.2957415565345081,34.16,0,3.09,1.4135,0.2357,-0.0774,1.9976,4.1868176634075915,8,22.8,Modern (2001+),2.070291515174691,0.21759920044537837,2.8242211523048297,1.065781481490088,0.13065452794855828
Kevin Durant,27.195,0.632,1240,4.455,6.27,36.255,31.332,36.934,0.8721,0.9829,29.008,0.596,170,4.254,7.569,40.746,31.375,36.62,0.7837,0.9391,510,1750,0.2914285714285714,0.7085714285714286,34.693200000000004,34.522,34.64330742857143,3,0.93858,0.8769399999999999,0.9206163428571429,5,4.0,2,0.3404833016562585,30.16,0,4.415,1.0221,-0.2346,1.1669,1.8205,3.9514109666039072,12,23.1,Modern (2001+),1.5677245972659664,1.9962676094074097,1.761053541799402,0.9066495224436869,0.19576689960713267
LeBron James,26.739,0.592,1615,7.4,5.383,37.409,29.724,35.547,0.7926,0.9126,28.2,0.588,292,7.211,6.256,41.211,30.788,38.64,0.7498,0.9516,876,2491,0.35166599759132877,0.6483340024086712,33.2178,35.4992,34.020090806904854,4,0.8645999999999999,0.8708800000000001,0.8668084624648735,7,5.5,3,0.2772676371780515,30.06,0,5.286,1.0327,1.0352,0.4466,1.7514,4.8375973853829155,3,20.1,Modern (2001+),1.466231898166596,1.021654782578898,1.591316448480219,3.0637716339615686,-0.4553568169786096
Luka Doncic,29.06,0.589,562,8.11,6.34,35.14,30.121,33.789,0.8794,0.9738,31.5,0.582,55,7.86,6.26,39.04,32.374,32.374,0.8587,0.8587,165,727,0.22696011004126548,0.7730398899587345,32.321799999999996,32.374,32.33364731774415,6,0.93604,0.8587,0.9184869050894086,6,6.0,4,0.3027698185291308,31.44,0,4.451,0.9708,1.0932,-0.0552,1.2073,4.516587423063443,5,21.8,Modern (2001+),1.9828208337140492,0.9485588205667594,2.2845496266402487,-1.1267032875936605,-0.08638671091335579
Stephen Curry,24.494,0.621,1065,6.212,4.029,33.306,27.356,34.7,0.8331,1.0622,26.21,0.606,155,6.3,4.46,37.57,28.372,31.342,0.771,0.8605,465,1530,0.30392156862745096,0.696078431372549,31.7624,30.154,31.273572549019605,11,0.97056,0.8247,0.9262299999999999,3,7.0,5,0.22757475083056478,29.2,0,4.518,0.6416,0.5235,0.9652,1.2513,4.136768925632998,10,16.4,Modern (2001+),0.9665584124690373,1.7282490820295688,1.1732758349837167,0.641429590699685,-1.2584094007676923
Giannis Antetokounmpo,24.685,0.607,895,5.1,5.915,32.546,26.12,33.014,0.8181,1.0536,25.822,0.568,84,5.267,5.733,35.822,25.355,30.866,0.7254,0.8724,252,1147,0.21970357454228423,0.7802964254577158,30.256400000000003,28.6616,29.90601673931997,15,0.9594,0.8135999999999999,0.927367218831735,2,8.5,6,0.3642823306489815,30.26,0,2.806,0.5363,-0.0105,0.5858,1.1054,3.254614631367089,22,24.0,Modern (2001+),1.009069608802326,1.3871345926395897,1.0917684188849006,-0.6139447528885903,0.39110401458285504
George Gervin,26.19,0.571,791,2.81,5.73,33.54,28.436,34.016,0.7755,0.8861,24.889,0.498,59,2.878,5.611,34.267,26.53,33.308,0.6502,0.7941,177,968,0.1828512396694215,0.8171487603305785,31.784,30.5968,31.56691900826446,9,0.84186,0.73654,0.8226021074380165,11,10.0,7,0.2876506024096386,29.86,0,,1.0321,-0.3282,0.372,1.6062,3.4104789611161945,19,21.9,Historical (pre-2001),1.3440400301719593,0.5099830484939292,0.895772493059656,-1.0559779724619267,-0.06468258702716484
Joel Embiid,27.12,0.609,487,3.73,8.12,31.34,27.941,33.827,0.909,1.0539,25.714,0.578,59,3.086,8.471,35.871,23.773,26.455,0.6814,0.739,177,664,0.26656626506024095,0.733433734939759,31.4726,25.382199999999997,29.84910481927711,16,0.99594,0.7159599999999999,0.9213067771084338,4,10.0,7,0.45388485187255456,30.88,0,2.389,0.7556,-0.7057,0.4972,1.1973,2.760461480376221,37,29.9,Modern (2001+),1.5510317191246228,1.4358652339810154,1.0690807875996633,-1.0559779724619267,1.6716473238681477
Kobe Bryant,24.2,0.543,1346,4.76,6.01,35.775,26.253,35.813,0.6813,0.8588,24.893,0.539,220,4.453,5.727,38.267,26.767,35.045,0.6452,0.8153,660,2006,0.32901296111665007,0.6709870388833499,31.989,31.733800000000002,31.90503589232303,7,0.7878000000000001,0.74726,0.7744618145563311,16,11.5,9,0.31565126050420167,30.76,0,4.56,0.9127,0.1679,-0.2802,1.7218,3.41115780539707,18,24.8,Modern (2001+),0.9011223301549693,-0.17224593028602636,0.8966127756998502,1.7907159615903596,0.5647370056723865
James Harden,23.765,0.608,1388,8.013,6.943,35.204,24.392,35.571,0.6955,0.9978,22.575,0.586,173,6.65,6.388,36.681,22.035,30.127,0.5988,0.8225,519,1907,0.27215521761929734,0.7278447823807026,31.099399999999996,26.8902,29.95384425799685,14,0.87688,0.73302,0.8377277503932878,10,12.0,10,0.4344396082698585,31.78,0,4.636,0.3941,1.1529,0.5904,1.6692,4.294038256350257,6,29.2,Modern (2001+),0.8043036369351755,1.4114999133103026,0.40966898570744126,0.9596935087924873,1.519718456664808
